Date,Value
1994-01-01,0.57
1995-01-01,0.09
1996-01-01,0.06
1997-01-01,0.07
1998-01-01,0.05
1999-01-01,0.05
2000-01-01,0.05
2001-01-01,0.05
2002-01-01,0.04
2003-01-01,0.05
2004-01-01,0.05
2005-01-01,0.06
2006-01-01,0.05
2007-01-01,0.05
2008-01-01,0.04
2009-01-01,0.03
2010-01-01,0.03
2011-01-01,0.02
2012-01-01,0.02
2013-01-01,0.04
2014-01-01,0.04
2015-01-01,0.26
2016-01-01,0.44
2017-01-01,1.0
2018-01-01,1.36
2019-01-01,1.37
2020-01-01,1.57
2021-01-01,1.69
2022-01-01,2.02
2023-01-01,1.13
2024-01-01,0.92
