Date,Value
1983-01-01,14569
1984-01-01,17498
1985-01-01,17575
1986-01-01,15868
1987-01-01,18066
1988-01-01,14370
1989-01-01,11065
1990-01-01,14754
1991-01-01,96442
1992-01-01,84220
1993-01-01,80210
1994-01-01,63251
1995-01-01,62160
1996-01-01,63297
1997-01-01,69386
1998-01-01,68370
1999-01-01,61810
2000-01-01,60757
2001-01-01,49766
2002-01-01,41878
2003-01-01,39452
2004-01-01,37337
2005-01-01,37865
2006-01-01,57234
2007-01-01,56936
2008-01-01,64689
2009-01-01,63127
2010-01-01,64931
2011-01-01,44379
2012-01-01,51154
2013-01-01,49846
2014-01-01,42989
2015-01-01,43838
2016-01-01,40830
2017-01-01,41146
2018-01-01,39720
2019-01-01,38789
2020-01-01,35681
2021-01-01,35254
2022-01-01,31658
2023-01-01,34015
2024-01-01,30648
