Date,Value
1983-01-01,4943
1984-01-01,5500
1985-01-01,5586
1986-01-01,4991
1987-01-01,6380
1988-01-01,6081
1989-01-01,5630
1990-01-01,8888
1991-01-01,14802
1992-01-01,8936
1993-01-01,12969
1994-01-01,11865
1995-01-01,11570
1996-01-01,12598
1997-01-01,17150
1998-01-01,18874
1999-01-01,23695
2000-01-01,23790
2001-01-01,26907
2002-01-01,27708
2003-01-01,32886
2004-01-01,34178
2005-01-01,35866
2006-01-01,38088
2007-01-01,39347
2008-01-01,44231
2009-01-01,64873
2010-01-01,66083
2011-01-01,78800
2012-01-01,76462
2013-01-01,71105
2014-01-01,73344
2015-01-01,74822
2016-01-01,41689
2017-01-01,38197
2018-01-01,38855
2019-01-01,29232
2020-01-01,35331
2021-01-01,36511
2022-01-01,35489
2023-01-01,35360
2024-01-01,35749
