Date,Value
1979-01-01,1510
1980-01-01,1444
1981-01-01,1703
1982-01-01,1976
1983-01-01,1729
1988-01-01,0
1989-01-01,5299819
1990-01-01,5349228
1991-01-01,5193842
1992-01-01,5198262
1993-01-01,5279804
1994-01-01,5660877
1995-01-01,5623521
1996-01-01,5880172
1997-01-01,5701467
1998-01-01,5098105
1999-01-01,5203246
2000-01-01,5180831
2001-01-01,5475471
2002-01-01,5153300
2003-01-01,5259338
2004-01-01,4979529
2005-01-01,4636172
2006-01-01,4598825
2007-01-01,5226704
2008-01-01,5458088
2009-01-01,5794618
2010-01-01,6123862
2011-01-01,6508065
2012-01-01,6221366
2013-01-01,5261090
2014-01-01,4879352
2015-01-01,4712743
2016-01-01,4660706
2017-01-01,4780931
2018-01-01,5557723
2019-01-01,5492705
2020-01-01,5675844
2021-01-01,5820963
2022-01-01,5986966
2023-01-01,5853131
2024-01-01,5867823
