Date,Value
1988-01-01,0
1989-01-01,146218
1990-01-01,140431
1991-01-01,166305
1992-01-01,205808
1993-01-01,159848
1994-01-01,184516
1995-01-01,251800
1996-01-01,243047
1997-01-01,221909
1998-01-01,201303
1999-01-01,170823
2000-01-01,170561
2001-01-01,170893
2002-01-01,167032
2003-01-01,185062
2004-01-01,149987
2005-01-01,163487
2006-01-01,178370
2007-01-01,207075
2008-01-01,183016
2009-01-01,188946
2010-01-01,189108
2011-01-01,201157
2012-01-01,219788
2013-01-01,219504
2014-01-01,234271
2015-01-01,238378
2016-01-01,200956
2017-01-01,255841
2018-01-01,251877
2019-01-01,267776
2020-01-01,264594
2021-01-01,290010
2022-01-01,266914
2023-01-01,282075
2024-01-01,286348
