Date,Value
1979-01-01,540
1980-01-01,650
1981-01-01,870
1982-01-01,1722
1983-01-01,1928
1988-01-01,0
1989-01-01,126786
1990-01-01,156942
1991-01-01,85735
1992-01-01,333653
1993-01-01,393269
1994-01-01,444646
1995-01-01,431245
1996-01-01,420103
1997-01-01,443318
1998-01-01,420012
1999-01-01,359246
2000-01-01,356690
2001-01-01,543761
2002-01-01,570772
2003-01-01,691823
2004-01-01,848851
2005-01-01,902767
2006-01-01,971875
2007-01-01,1031818
2008-01-01,1029571
2009-01-01,1004646
2010-01-01,1007828
2011-01-01,1190204
2012-01-01,1363645
2013-01-01,1309723
2014-01-01,1293589
2015-01-01,1147379
2016-01-01,1072291
2017-01-01,1105681
2018-01-01,1172486
2019-01-01,1370539
2020-01-01,1318176
2021-01-01,1299420
2022-01-01,1121585
2023-01-01,1204176
2024-01-01,1049018
