Date,Value
1988-01-01,0
1989-01-01,2538496
1990-01-01,2688474
1991-01-01,2674828
1992-01-01,2833444
1993-01-01,2904162
1994-01-01,2888962
1995-01-01,3389137
1996-01-01,3395153
1997-01-01,3248827
1998-01-01,3069942
1999-01-01,3118673
2000-01-01,3112028
2001-01-01,3168147
2002-01-01,3051496
2003-01-01,3075542
2004-01-01,2839615
2005-01-01,2573659
2006-01-01,2625607
2007-01-01,2770917
2008-01-01,2985348
2009-01-01,3103267
2010-01-01,3327743
2011-01-01,3425792
2012-01-01,3247526
2013-01-01,2748740
2014-01-01,2755405
2015-01-01,3135805
2016-01-01,3400219
2017-01-01,3502274
2018-01-01,3868493
2019-01-01,3442685
2020-01-01,3491175
2021-01-01,3708730
2022-01-01,4021934
2023-01-01,3903977
2024-01-01,3965873
