Date,Value
1988-01-01,0
1989-01-01,888303
1990-01-01,845834
1991-01-01,786554
1992-01-01,898635
1993-01-01,809216
1994-01-01,1019871
1995-01-01,1054114
1996-01-01,1103916
1997-01-01,1065103
1998-01-01,987971
1999-01-01,1027378
2000-01-01,1110777
2001-01-01,1055748
2002-01-01,1212397
2003-01-01,1398020
2004-01-01,1412982
2005-01-01,1634867
2006-01-01,1614167
2007-01-01,1565584
2008-01-01,2266888
2009-01-01,2507154
2010-01-01,2586526
2011-01-01,2410798
2012-01-01,2328545
2013-01-01,2011580
2014-01-01,1882404
2015-01-01,1883576
2016-01-01,1919938
2017-01-01,2095153
2018-01-01,2269857
2019-01-01,1875023
2020-01-01,1467497
2021-01-01,1163403
2022-01-01,1304331
2023-01-01,1048879
2024-01-01,1347501
