Date,Value
2011-04-01,2901
2016-12-01,10166
2017-03-01,7042
2017-04-01,3295
2017-05-01,6818
2017-06-01,7431
2017-07-01,14238
2017-08-01,10320
2017-09-01,17514
2017-10-01,21577
2017-11-01,21141
2017-12-01,20810
2018-01-01,21286
2018-02-01,28322
2018-03-01,11079
2018-04-01,17996
2018-05-01,17735
2018-06-01,13994
2018-07-01,14040
2018-08-01,17467
2018-09-01,24179
2018-10-01,34923
2018-11-01,17635
2018-12-01,33567
2019-01-01,16981
2019-02-01,17750
2019-03-01,18013
2019-04-01,13000
2019-05-01,18069
2019-06-01,17020
2019-07-01,28985
2019-08-01,9976
2019-09-01,7381
2019-10-01,31185
2019-11-01,17833
2019-12-01,24644
2020-01-01,34337
2020-02-01,11071
2020-03-01,13599
2020-04-01,20558
2020-05-01,10461
2020-06-01,17089
2020-07-01,10492
2020-08-01,13814
2020-09-01,14732
2020-10-01,3701
2020-11-01,27827
2020-12-01,21528
2021-01-01,20634
2021-02-01,7148
2021-03-01,14258
2021-04-01,14279
2021-05-01,28481
2021-06-01,28047
2021-07-01,21359
2021-08-01,17434
2021-09-01,11062
2021-10-01,13605
2021-11-01,16990
2021-12-01,14038
2022-01-01,14320
2022-02-01,10596
2022-03-01,14318
2022-04-01,6845
2022-05-01,6924
2022-06-01,14262
2022-07-01,16811
2022-08-01,14790
2022-09-01,16942
2022-10-01,24862
2022-11-01,10208
2022-12-01,17263
2023-01-01,13466
2023-02-01,10561
2023-03-01,6664
2023-04-01,14209
2023-05-01,3210
2023-06-01,2977
2023-07-01,9671
2023-08-01,13995
2023-09-01,10646
2023-10-01,10695
2023-11-01,15202
2023-12-01,10607
2024-01-01,7367
2024-02-01,3709
2024-03-01,14559
2024-04-01,7402
2024-05-01,7366
2024-06-01,14631
2024-07-01,7352
2024-08-01,21368
2024-09-01,14654
2024-10-01,7338
2024-11-01,7360
2024-12-01,3680
2025-01-01,11020
2025-02-01,7377
2025-03-01,10586
2025-04-01,14323
2025-05-01,15437
2025-06-01,10604
2025-07-01,3695
2025-08-01,13730
2025-09-01,10469
2025-10-01,14541
2025-11-01,14198
2025-12-01,6899
2026-01-01,6868
2026-02-01,6946
