Date,Value
2017-04-01,39
2017-05-01,955
2017-06-01,1505
2017-08-01,2120
2017-09-01,3419
2017-10-01,4253
2017-11-01,3658
2017-12-01,1555
2018-01-01,4921
2018-02-01,2945
2018-03-01,3929
2018-04-01,3068
2018-05-01,2279
2018-06-01,2422
2018-07-01,2617
2018-08-01,2839
2018-09-01,3514
2018-10-01,3074
2018-11-01,2189
2018-12-01,1860
2019-01-01,2669
2019-02-01,3479
2019-03-01,3359
2019-04-01,3419
2019-05-01,3700
2019-06-01,3674
2019-07-01,3707
2019-08-01,3749
2019-09-01,2618
2019-10-01,3534
2019-11-01,3126
2019-12-01,2484
2020-01-01,3169
2020-02-01,3333
2020-03-01,5096
2020-04-01,4202
2020-05-01,4447
2020-06-01,6836
2020-07-01,7971
2020-08-01,7888
2020-09-01,7446
2020-10-01,6633
2020-11-01,4726
2020-12-01,4865
2021-01-01,4656
2021-02-01,4015
2021-03-01,6450
2021-04-01,6804
2021-05-01,9410
2021-06-01,9319
2021-07-01,10612
2021-08-01,8885
2021-09-01,9655
2021-10-01,11032
2021-11-01,8164
2021-12-01,11650
2022-01-01,13337
2022-02-01,9421
2022-03-01,11087
2022-04-01,13280
2022-05-01,16556
2022-06-01,17529
2022-07-01,18539
2022-08-01,16974
2022-09-01,14245
2022-10-01,11802
2022-11-01,10627
2022-12-01,14313
2023-01-01,15390
2023-02-01,14232
2023-03-01,13889
2023-04-01,14062
2023-05-01,16161
2023-06-01,17130
2023-07-01,23739
2023-08-01,27402
2023-09-01,23716
2023-10-01,18924
2023-11-01,14824
2023-12-01,19603
2024-01-01,20091
2024-02-01,17088
2024-03-01,18249
2024-04-01,20173
2024-05-01,19216
2024-06-01,21315
2024-07-01,22496
2024-08-01,26608
2024-09-01,21055
2024-10-01,20218
2024-11-01,17234
2024-12-01,15471
2025-01-01,18436
2025-02-01,17338
2025-03-01,18215
2025-04-01,19289
2025-05-01,22193
2025-06-01,21067
2025-07-01,22008
2025-08-01,23535
2025-09-01,21904
2025-10-01,19267
2025-11-01,15248
2025-12-01,18747
2026-01-01,20292
2026-02-01,19139
