Date,Value
2012-12-01,11.27
2016-04-01,3.58
2017-01-01,7.29
2017-02-01,7.18
2017-05-01,6.35
2017-07-01,6.26
2017-08-01,4.38
2017-11-01,3.29
2018-01-01,3.27
2018-09-01,3.46
2019-01-01,
2019-04-01,
2019-06-01,
2019-07-01,
2019-09-01,
2019-10-01,
2019-12-01,
2020-02-01,
2020-11-01,
2021-08-01,
2021-10-01,
2021-12-01,
2022-01-01,7.43
2022-03-01,8.08
2022-08-01,13.02
2022-09-01,13.8
2022-10-01,10.83
2022-12-01,10.64
2023-01-01,8.28
2023-02-01,6.38
2023-03-01,5.6
2023-07-01,5.77
2023-08-01,5.64
2023-09-01,5.71
2023-10-01,5.96
2024-01-01,5.81
2024-02-01,5.65
2024-07-01,5.82
2024-08-01,4.96
2024-09-01,4.98
2024-11-01,5.49
2025-01-01,
2025-03-01,
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2026-01-01,
