Date,Value
2011-01-01,6.45
2011-02-01,5.86
2011-06-01,4.53
2011-11-01,3.69
2011-12-01,3.67
2012-01-01,4.88
2012-02-01,3.49
2012-03-01,2.65
2012-04-01,1.81
2012-05-01,2.28
2012-06-01,3.18
2012-08-01,2.93
2012-09-01,2.71
2012-10-01,3.25
2012-11-01,6.04
2012-12-01,6.33
2013-01-01,10.44
2013-02-01,17.83
2013-03-01,6.97
2013-04-01,5.75
2013-05-01,4.33
2013-06-01,3.72
2013-07-01,4.21
2013-08-01,3.26
2013-09-01,3.38
2013-10-01,3.96
2013-11-01,5.02
2013-12-01,13.54
2014-01-01,14.7
2014-02-01,17.69
2014-03-01,19.02
2014-04-01,5.11
2014-05-01,3.81
2014-06-01,4.55
2014-07-01,2.86
2014-08-01,2.67
2014-09-01,3.12
2014-10-01,2.47
2014-11-01,5.75
2014-12-01,5.35
2015-01-01,8.28
2015-02-01,16.9
2015-03-01,8.24
2015-04-01,3.05
2015-05-01,1.97
2015-06-01,1.62
2015-07-01,1.67
2015-08-01,1.92
2015-09-01,2.49
2015-10-01,3.34
2015-11-01,4.21
2015-12-01,2.92
2016-01-01,4.71
2016-02-01,3.74
2016-03-01,2.01
2016-04-01,2.4
2016-05-01,1.77
2016-06-01,1.81
2016-07-01,2.89
2016-08-01,2.9
2016-09-01,2.62
2016-10-01,2.56
2016-11-01,3.76
2016-12-01,5.62
2017-01-01,5.38
2017-02-01,5.06
2017-03-01,4.35
2017-04-01,4.64
2017-05-01,5.02
2017-06-01,4.61
2017-07-01,3.79
2017-08-01,3.22
2017-09-01,3.95
2017-10-01,3.98
2017-11-01,3.45
2017-12-01,11.08
2018-01-01,13.98
2018-02-01,5.42
2018-03-01,4.2
2018-04-01,4.54
2018-05-01,3.22
2018-06-01,3.2
2018-07-01,3.37
2018-08-01,3.66
2018-09-01,3.23
2018-10-01,3.79
2018-11-01,6.69
2018-12-01,5.84
2019-01-01,6.95
2019-02-01,5.08
2019-03-01,4.21
2019-04-01,2.93
2019-05-01,2.64
2019-06-01,2.43
2019-07-01,2.45
2019-08-01,2.32
2019-09-01,2.3
2019-10-01,2.14
2019-11-01,3.61
2019-12-01,4.53
2020-01-01,3.21
2020-02-01,2.67
2020-03-01,2.2
2020-04-01,2.18
2020-05-01,2.07
2020-06-01,2.18
2020-07-01,2.16
2020-08-01,2.12
2020-09-01,2.2
2020-10-01,2.63
2020-11-01,2.93
2020-12-01,4.43
2021-01-01,5.4
2021-02-01,7.34
2021-03-01,3.84
2021-04-01,2.96
2021-05-01,3.14
2021-06-01,3.55
2021-07-01,3.88
2021-08-01,4.4
2021-09-01,4.93
2021-10-01,5.67
2021-11-01,6.37
2021-12-01,8.24
2022-01-01,15.69
2022-02-01,12.13
2022-03-01,6.61
2022-04-01,6.73
2022-05-01,7.9
2022-06-01,7.42
2022-07-01,7.62
2022-08-01,8.92
2022-09-01,7.67
2022-10-01,5.22
2022-11-01,6.18
2022-12-01,11.68
2023-01-01,8.01
2023-02-01,7.83
2023-03-01,3.42
2023-04-01,2.5
2023-05-01,2.31
2023-06-01,2.96
2023-07-01,2.94
2023-08-01,2.23
2023-09-01,2.21
2023-10-01,2.26
2023-11-01,4.09
2023-12-01,3.79
2024-01-01,7.19
2024-02-01,3.76
2024-03-01,2.08
2024-04-01,2.0
2024-05-01,2.05
2024-06-01,2.4
2024-07-01,2.42
2024-08-01,2.07
2024-09-01,2.13
2024-10-01,2.3
2024-11-01,3.81
2024-12-01,9.28
2025-01-01,15.69
2025-02-01,12.84
2025-03-01,4.71
2025-04-01,3.71
2025-05-01,3.02
2025-06-01,3.39
2025-07-01,4.34
2025-08-01,3.2
2025-09-01,2.67
2025-10-01,3.04
2025-11-01,6.51
2025-12-01,13.8
2026-01-01,22.18
2026-02-01,13.39
