Date,Value
2011-02-01,7.54
2012-04-01,2.2
2012-05-01,2.65
2012-06-01,2.46
2012-10-01,3.48
2013-01-01,14.87
2013-10-01,4.39
2014-08-01,4.06
2014-09-01,4.09
2014-10-01,4.01
2014-11-01,5.0
2014-12-01,3.08
2015-04-01,2.81
2015-05-01,3.05
2015-06-01,2.9
2015-07-01,2.95
2015-08-01,3.03
2015-09-01,3.09
2015-10-01,2.09
2017-03-01,5.86
2017-05-01,3.06
2017-06-01,2.35
2017-07-01,2.64
2017-08-01,2.3
2017-09-01,3.11
2018-11-01,6.02
2018-12-01,13.09
2019-01-01,11.62
2019-02-01,9.71
2019-03-01,6.96
2019-04-01,5.69
2019-05-01,3.84
2019-07-01,2.49
2019-08-01,2.16
2019-11-01,3.76
2019-12-01,3.46
2020-01-01,2.58
2020-02-01,2.92
2020-03-01,1.7
2020-07-01,1.81
2020-09-01,2.07
2021-05-01,2.22
2021-06-01,2.18
2021-07-01,2.94
2022-02-01,14.83
2022-07-01,8.06
2022-08-01,8.57
2022-11-01,3.59
2023-03-01,6.38
2023-05-01,2.1
2023-06-01,1.55
2023-07-01,3.36
2023-08-01,1.48
2023-09-01,1.59
2023-10-01,1.41
2023-11-01,1.87
2023-12-01,2.43
2024-04-01,1.55
2024-05-01,1.57
2024-06-01,1.75
2024-09-01,1.69
2025-03-01,3.29
2025-05-01,2.19
2025-06-01,2.65
2025-07-01,6.18
2025-08-01,2.42
2025-09-01,1.96
2025-10-01,2.22
2026-01-01,48.74
