Date,Value
2013-01-01,1056
2013-02-01,1055
2013-03-01,1057
2013-04-01,1043
2013-05-01,983
2013-06-01,983
2013-07-01,983
2013-08-01,983
2013-09-01,983
2013-10-01,983
2013-11-01,983
2013-12-01,983
2014-01-01,947
2014-02-01,946
2014-03-01,947
2014-04-01,947
2014-05-01,947
2014-06-01,947
2014-07-01,951
2014-08-01,978
2014-09-01,990
2014-10-01,968
2014-11-01,974
2014-12-01,962
2015-01-01,968
2015-02-01,954
2015-03-01,947
2015-04-01,959
2015-05-01,990
2015-06-01,1005
2015-07-01,1011
2015-08-01,965
2015-09-01,989
2015-10-01,996
2015-11-01,996
2015-12-01,997
2016-01-01,998
2016-02-01,1004
2016-03-01,1003
2016-04-01,992
2016-05-01,1018
2016-06-01,1050
2016-07-01,967
2016-08-01,947
2016-09-01,945
2016-10-01,952
2016-11-01,947
2016-12-01,954
2017-01-01,955
2017-02-01,972
2017-03-01,954
2017-04-01,959
2017-05-01,984
2017-06-01,987
2017-07-01,987
2017-08-01,983
2017-09-01,978
2017-10-01,984
2017-11-01,969
2017-12-01,989
2018-01-01,965
2018-02-01,971
2018-03-01,973
2018-04-01,974
2018-05-01,974
2018-06-01,956
2018-07-01,961
2018-08-01,932
2018-09-01,953
2018-10-01,968
2018-11-01,953
2018-12-01,960
2019-01-01,938
2019-02-01,961
2019-03-01,946
2019-04-01,958
2019-05-01,963
2019-06-01,954
2019-07-01,917
2019-08-01,936
2019-09-01,967
2019-10-01,924
2019-11-01,973
2019-12-01,984
2020-01-01,984
2020-02-01,981
2020-03-01,975
2020-04-01,919
2020-05-01,913
2020-06-01,915
2020-07-01,914
2020-08-01,912
2020-09-01,914
2020-10-01,918
2020-11-01,916
2020-12-01,919
2021-01-01,916
2021-02-01,916
2021-03-01,918
2021-04-01,918
2021-05-01,918
2021-06-01,917
2021-07-01,919
2021-08-01,919
2021-09-01,918
2021-10-01,918
2021-11-01,917
2021-12-01,917
2022-01-01,918
2022-02-01,918
2022-03-01,915
2022-04-01,915
2022-05-01,918
2022-06-01,919
2022-07-01,919
2022-08-01,918
2022-09-01,918
2022-10-01,916
2022-11-01,916
2022-12-01,917
2023-01-01,918
2023-02-01,917
2023-03-01,918
2023-04-01,918
2023-05-01,918
2023-06-01,918
2023-07-01,919
2023-08-01,919
2023-09-01,919
2023-10-01,918
2023-11-01,917
2023-12-01,917
2024-01-01,917
2024-02-01,918
2024-03-01,919
2024-04-01,919
2024-05-01,919
2024-06-01,918
2024-07-01,918
2024-08-01,916
2024-09-01,917
2024-10-01,917
2024-11-01,918
2024-12-01,917
2025-01-01,918
2025-02-01,917
2025-03-01,917
2025-04-01,917
2025-05-01,916
2025-06-01,916
2025-07-01,917
2025-08-01,917
2025-09-01,918
2025-10-01,917
2025-11-01,918
2025-12-01,917
2026-01-01,918
2026-02-01,918
