Date,Value
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,2910
2011-12-01,0
2013-01-01,0
2013-02-01,0
2013-03-01,0
2013-04-01,0
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,0
2013-11-01,0
2013-12-01,0
2014-01-01,0
2015-01-01,0
2015-02-01,0
2015-03-01,0
2015-04-01,0
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,0
2015-11-01,0
2015-12-01,0
2016-01-01,0
2016-02-01,0
2016-03-01,0
2016-04-01,0
2016-05-01,6230
2016-06-01,4643
2016-07-01,6074
2016-08-01,9518
2016-09-01,0
2016-10-01,0
2016-11-01,2940
2016-12-01,0
2017-01-01,0
2017-02-01,2950
2017-03-01,2951
2017-04-01,5894
2017-05-01,0
2017-06-01,3657
2017-07-01,3256
2017-08-01,0
2017-09-01,0
2017-10-01,3675
2017-11-01,0
2017-12-01,3362
2018-01-01,2938
2018-02-01,3249
2018-03-01,6994
2018-04-01,4987
2018-05-01,0
2018-06-01,5865
2018-07-01,6525
2018-08-01,0
2018-09-01,3675
2018-10-01,0
2018-11-01,3676
2018-12-01,3276
2019-01-01,0
2019-02-01,2933
2019-03-01,10005
2019-04-01,9429
2019-05-01,6188
2019-06-01,19012
2019-07-01,9382
2019-08-01,6297
2019-09-01,9811
2019-10-01,6608
2019-11-01,3484
2019-12-01,7207
2020-01-01,6087
2020-02-01,10731
2020-03-01,3216
2020-04-01,14098
2020-05-01,11068
2020-06-01,3313
2020-07-01,1515
2020-08-01,7428
2020-09-01,3277
2020-10-01,6836
2020-11-01,3252
2020-12-01,9793
2021-01-01,9784
2021-02-01,6524
2021-03-01,21320
2021-04-01,10293
2021-05-01,17598
2021-06-01,0
2021-07-01,19913
2021-08-01,16262
2021-09-01,7929
2021-10-01,6364
2021-11-01,2956
2021-12-01,2938
2022-01-01,3162
2022-02-01,0
2022-03-01,3214
2022-04-01,3530
2022-05-01,9943
2022-06-01,0
2022-07-01,6917
2022-08-01,0
2022-09-01,3365
2022-10-01,0
2022-11-01,0
2022-12-01,0
2023-01-01,3307
2023-02-01,0
2023-03-01,7271
2023-04-01,0
2023-05-01,6419
2023-06-01,4011
2023-07-01,7144
2023-08-01,3065
2023-09-01,0
2023-10-01,0
2023-11-01,0
2023-12-01,0
2024-01-01,3696
2024-02-01,3522
2024-03-01,6439
2024-04-01,5441
2024-05-01,7330
2024-06-01,7101
2024-07-01,10640
2024-08-01,3695
2024-09-01,0
2024-10-01,0
2024-11-01,2434
2024-12-01,6095
2025-01-01,3336
2025-02-01,0
2025-03-01,3365
2025-04-01,3421
2025-05-01,4087
2025-06-01,10324
2025-07-01,6794
2025-08-01,0
2025-09-01,3259
2025-10-01,0
2025-11-01,3330
2025-12-01,3451
2026-01-01,0
2026-02-01,3327
