Date,Value
2020-03-01,2872
2020-04-01,1838
2020-05-01,2554
2020-08-01,2772
2020-11-01,5106
2020-12-01,2784
2021-01-01,4657
2021-02-01,2338
2021-03-01,4684
2021-04-01,2353
2021-05-01,2336
2021-06-01,4670
2021-07-01,1806
2021-08-01,4017
2021-12-01,1126
2022-01-01,1483
2022-03-01,3319
2022-07-01,3334
2022-08-01,3357
2022-12-01,3446
2023-01-01,2975
2023-04-01,3411
2023-07-01,135
2023-09-01,3524
2023-10-01,493
2024-02-01,3614
2024-04-01,4344
2024-06-01,3148
2024-07-01,2032
2024-08-01,3674
2024-11-01,1147
2024-12-01,2874
2025-01-01,2947
2025-02-01,3699
2025-03-01,7014
2025-04-01,4420
2025-05-01,3295
2025-06-01,1721
2025-07-01,244
2025-08-01,7249
2025-09-01,3541
2025-10-01,3680
2026-02-01,2603
