Date,Value
2019-03-01,3311
2019-04-01,3154
2020-04-01,3228
2020-06-01,3470
2020-07-01,3488
2020-09-01,3231
2021-02-01,3391
2021-12-01,3351
2022-01-01,3300
2022-02-01,6786
2022-03-01,3720
2022-06-01,3721
2022-07-01,3659
2022-08-01,6325
2023-01-01,3441
2023-02-01,3357
2023-06-01,3721
2023-08-01,7290
2023-09-01,3667
2024-02-01,3640
2024-03-01,3642
2024-05-01,3276
2024-06-01,3630
2024-07-01,3275
2024-08-01,3655
2024-09-01,3661
2024-10-01,5410
2024-11-01,1171
2025-03-01,3655
2025-05-01,3696
2025-06-01,3332
2025-08-01,3701
