Date,Value
2019-05-01,774
2019-06-01,3291
2019-08-01,6263
2019-09-01,10697
2019-10-01,7333
2019-11-01,10083
2019-12-01,3635
2020-01-01,10267
2020-02-01,9918
2020-03-01,6994
2020-04-01,13226
2020-05-01,8209
2020-10-01,3720
2020-11-01,3294
2020-12-01,3296
2021-01-01,3718
2021-03-01,3410
2021-04-01,6954
2021-06-01,6996
2021-08-01,3452
2021-09-01,13951
2021-10-01,7450
2021-11-01,11785
2021-12-01,12067
2022-01-01,14349
2022-02-01,11234
2022-03-01,18107
2022-04-01,10493
2022-05-01,5534
2022-06-01,16123
2022-07-01,10345
2022-08-01,6671
2022-09-01,10092
2022-10-01,7185
2022-11-01,13079
2022-12-01,14245
2023-01-01,7466
2023-02-01,3198
2023-03-01,17512
2023-05-01,3501
2023-06-01,3490
2023-07-01,10225
2023-08-01,6673
2023-09-01,3738
2023-10-01,20397
2023-11-01,3748
2023-12-01,7274
2024-01-01,7108
2024-02-01,3396
2024-03-01,7149
2024-04-01,3307
2024-05-01,3320
2024-06-01,3313
2024-07-01,5668
2024-08-01,7333
2024-09-01,3797
2024-12-01,6773
2025-02-01,3588
2025-03-01,17988
2025-04-01,10487
2025-05-01,2679
2025-07-01,10406
2025-08-01,3577
2025-09-01,3565
2025-10-01,3541
2025-11-01,3724
2025-12-01,7194
2026-01-01,12050
2026-02-01,3157
