Date,Value
2015-12-01,3145
2020-01-01,3297
2020-02-01,7283
2020-12-01,6724
2021-01-01,7347
2021-02-01,7021
2021-05-01,3017
2021-09-01,3702
2021-11-01,6620
2021-12-01,6076
2022-01-01,10535
2022-02-01,14670
2022-03-01,8009
2023-04-01,3723
2023-09-01,3531
2023-10-01,3660
2023-11-01,7128
2023-12-01,3601
2024-01-01,7192
2024-02-01,2611
2024-03-01,5263
2024-10-01,3069
2024-11-01,15174
2024-12-01,6228
2025-01-01,6535
2025-02-01,10022
2025-03-01,7079
2025-04-01,3426
2025-06-01,3272
2025-10-01,6790
2025-11-01,7060
2025-12-01,17251
2026-01-01,19002
2026-02-01,10022
