Date,Value
2013-11-01,2725
2014-02-01,2664
2015-01-01,2805
2015-02-01,2728
2015-11-01,2947
2015-12-01,3145
2019-09-01,6455
2019-10-01,10373
2019-11-01,9717
2019-12-01,22473
2020-01-01,41403
2020-02-01,38471
2020-03-01,46502
2020-04-01,31875
2020-05-01,28671
2020-06-01,14933
2020-07-01,3741
2020-08-01,11338
2020-09-01,31018
2020-10-01,53799
2020-11-01,53747
2020-12-01,58489
2021-01-01,61103
2021-02-01,30471
2021-03-01,63625
2021-04-01,60625
2021-05-01,63214
2021-06-01,58539
2021-07-01,60901
2021-08-01,65626
2021-09-01,48552
2021-10-01,60038
2021-11-01,43941
2021-12-01,67263
2022-01-01,63940
2022-02-01,52484
2022-03-01,64493
2022-04-01,39285
2022-05-01,63482
2022-06-01,17323
2023-02-01,11556
2023-03-01,28981
2023-04-01,62518
2023-05-01,68406
2023-06-01,63287
2023-07-01,59522
2023-08-01,61436
2023-09-01,54021
2023-10-01,63952
2023-11-01,60101
2023-12-01,71224
2024-01-01,52766
2024-02-01,41476
2024-03-01,26250
2024-04-01,10736
2024-05-01,55238
2024-06-01,64944
2024-07-01,24767
2024-08-01,62901
2024-09-01,62978
2024-10-01,69031
2024-11-01,55615
2024-12-01,68102
2025-01-01,56010
2025-02-01,61750
2025-03-01,64486
2025-04-01,68866
2025-05-01,65408
2025-06-01,67199
2025-07-01,59980
2025-08-01,60683
2025-09-01,59967
2025-10-01,69946
2025-11-01,64018
2025-12-01,69330
2026-01-01,63490
2026-02-01,62705
