Date,Value
2016-02-01,4574
2016-03-01,10598
2016-04-01,10010
2016-05-01,9840
2016-06-01,16421
2016-07-01,15703
2016-08-01,27481
2016-09-01,16715
2016-10-01,2942
2016-11-01,32910
2016-12-01,41761
2017-01-01,51235
2017-02-01,51982
2017-03-01,43469
2017-04-01,50584
2017-05-01,60741
2017-06-01,52427
2017-07-01,53539
2017-08-01,45419
2017-09-01,54665
2017-10-01,80535
2017-11-01,79993
2017-12-01,82479
2018-01-01,72334
2018-02-01,73581
2018-03-01,88460
2018-04-01,76723
2018-05-01,72857
2018-06-01,60915
2018-07-01,79002
2018-08-01,72239
2018-09-01,68988
2018-10-01,83401
2018-11-01,88140
2018-12-01,95562
2019-01-01,95748
2019-02-01,75564
2019-03-01,93602
2019-04-01,84065
2019-05-01,107005
2019-06-01,97739
2019-07-01,95194
2019-08-01,76669
2019-09-01,95250
2019-10-01,107359
2019-11-01,106014
2019-12-01,108451
2020-01-01,114283
2020-02-01,98008
2020-03-01,98021
2020-04-01,91733
2020-05-01,77635
2020-06-01,26910
2020-07-01,30230
2020-08-01,29316
2020-09-01,61674
2020-10-01,88331
2020-11-01,101396
2020-12-01,109365
2021-01-01,111069
2021-02-01,83808
2021-03-01,114128
2021-04-01,108858
2021-05-01,108224
2021-06-01,85813
2021-07-01,96748
2021-08-01,99325
2021-09-01,99615
2021-10-01,101288
2021-11-01,112754
2021-12-01,119053
2022-01-01,130131
2022-02-01,110916
2022-03-01,130486
2022-04-01,124560
2022-05-01,130733
2022-06-01,105690
2022-07-01,118542
2022-08-01,118672
2022-09-01,115637
2022-10-01,130421
2022-11-01,120073
2022-12-01,139166
2023-01-01,139242
2023-02-01,119455
2023-03-01,130970
2023-04-01,136989
2023-05-01,126154
2023-06-01,83744
2023-07-01,113328
2023-08-01,118486
2023-09-01,115400
2023-10-01,132427
2023-11-01,130427
2023-12-01,141519
2024-01-01,137771
2024-02-01,128285
2024-03-01,138259
2024-04-01,119718
2024-05-01,131501
2024-06-01,108544
2024-07-01,119812
2024-08-01,118420
2024-09-01,121139
2024-10-01,128921
2024-11-01,126862
2024-12-01,133012
2025-01-01,138008
2025-02-01,117492
2025-03-01,137017
2025-04-01,127445
2025-05-01,124842
2025-06-01,84825
2025-07-01,114769
2025-08-01,118174
2025-09-01,116188
2025-10-01,127669
2025-11-01,135587
2025-12-01,134388
2026-01-01,132215
2026-02-01,122177
