Date,Value
2014-12-01,8045
2015-01-01,15984
2015-02-01,17668
2015-03-01,21372
2015-04-01,22842
2015-05-01,23041
2015-06-01,24529
2015-07-01,29766
2015-08-01,30441
2015-09-01,29787
2015-10-01,31090
2015-11-01,29995
2015-12-01,34452
2016-01-01,31055
2016-02-01,38906
2016-03-01,40764
2016-04-01,41304
2016-05-01,46444
2016-06-01,45335
2016-07-01,50104
2016-08-01,55932
2016-09-01,56445
2016-10-01,59893
2016-11-01,57703
2016-12-01,49561
2017-01-01,58433
2017-02-01,55183
2017-03-01,60650
2017-04-01,50549
2017-05-01,58177
2017-06-01,58816
2017-07-01,59554
2017-08-01,61717
2017-09-01,56087
2017-10-01,59198
2017-11-01,57357
2017-12-01,56217
2018-01-01,58557
2018-02-01,54279
2018-03-01,56015
2018-04-01,57390
2018-05-01,60702
2018-06-01,58165
2018-07-01,58466
2018-08-01,59148
2018-09-01,57097
2018-10-01,59928
2018-11-01,54908
2018-12-01,50555
2019-01-01,57502
2019-02-01,52877
2019-03-01,59428
2019-04-01,52754
2019-05-01,59414
2019-06-01,57467
2019-07-01,63448
2019-08-01,60966
2019-09-01,55162
2019-10-01,51742
2019-11-01,50333
2019-12-01,46862
2020-01-01,53027
2020-02-01,47650
2020-03-01,55946
2020-04-01,36149
2020-05-01,47832
2020-06-01,49877
2020-07-01,52442
2020-08-01,51219
2020-09-01,51971
2020-10-01,49305
2020-11-01,44713
2020-12-01,46577
2021-01-01,48719
2021-02-01,36644
2021-03-01,49877
2021-04-01,43563
2021-05-01,46716
2021-06-01,45603
2021-07-01,47411
2021-08-01,45591
2021-09-01,42645
2021-10-01,47240
2021-11-01,42632
2021-12-01,44847
2022-01-01,47263
2022-02-01,43405
2022-03-01,47642
2022-04-01,40373
2022-05-01,43588
2022-06-01,43687
2022-07-01,45521
2022-08-01,46262
2022-09-01,44963
2022-10-01,48575
2022-11-01,48755
2022-12-01,47346
2023-01-01,47015
2023-02-01,41584
2023-03-01,49947
2023-04-01,45265
2023-05-01,49607
2023-06-01,51165
2023-07-01,50924
2023-08-01,50996
2023-09-01,49104
2023-10-01,48702
2023-11-01,48073
2023-12-01,49095
2024-01-01,54473
2024-02-01,46944
2024-03-01,47285
2024-04-01,49582
2024-05-01,51156
2024-06-01,47583
2024-07-01,52156
2024-08-01,54081
2024-09-01,50977
2024-10-01,49849
2024-11-01,45532
2024-12-01,47582
2025-01-01,52288
2025-02-01,47462
2025-03-01,50094
2025-04-01,50156
2025-05-01,57826
2025-06-01,57243
2025-07-01,53282
2025-08-01,55893
2025-09-01,49152
2025-10-01,52198
2025-11-01,50649
2025-12-01,52228
2026-01-01,54251
2026-02-01,50948
