Date,Value
2022-01-01,
2022-02-01,
2022-03-01,
2022-04-01,
2022-05-01,
2022-06-01,
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,10.68
2023-01-01,
2023-02-01,
2023-03-01,18.43
2023-04-01,
2023-05-01,14.11
2023-06-01,5.35
2023-07-01,7.08
2023-08-01,6.03
2023-09-01,7.62
2023-10-01,
2023-11-01,5.08
2023-12-01,11.91
2024-01-01,
2024-02-01,
2024-03-01,
2024-04-01,5.64
2024-05-01,4.18
2024-06-01,6.74
2024-07-01,9.42
2024-08-01,
2024-09-01,
2024-10-01,
2024-11-01,
2024-12-01,7.33
2025-01-01,
2025-02-01,7.44
2025-03-01,
2025-04-01,6.65
2025-05-01,6.74
2025-06-01,7.35
2025-07-01,7.14
2025-08-01,
2025-09-01,6.38
2025-10-01,
2025-11-01,6.77
2025-12-01,
2026-01-01,
2026-02-01,
