Date,Value
2015-01-01,
2015-02-01,
2015-03-01,
2015-04-01,
2015-05-01,
2015-06-01,
2015-07-01,
2015-08-01,
2015-09-01,
2015-10-01,
2015-11-01,
2015-12-01,
2016-01-01,
2016-02-01,
2016-03-01,3.98
2016-04-01,
2016-05-01,
2016-06-01,4.77
2016-07-01,
2016-08-01,5.01
2016-09-01,5.0
2016-10-01,
2016-11-01,5.74
2016-12-01,
2017-01-01,4.7
2017-02-01,4.06
2017-03-01,
2017-04-01,
2017-05-01,
2017-06-01,4.67
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,4.41
2017-12-01,6.8
2018-01-01,3.27
2018-02-01,
2018-03-01,5.22
2018-04-01,6.33
2018-05-01,3.37
2018-06-01,3.44
2018-07-01,6.83
2018-08-01,
2018-09-01,4.76
2018-10-01,5.23
2018-11-01,
2018-12-01,6.64
2019-01-01,6.6
2019-02-01,5.53
2019-03-01,3.67
2019-04-01,3.48
2019-05-01,4.11
2019-06-01,5.23
2019-07-01,6.09
2019-08-01,3.98
2019-09-01,5.15
2019-10-01,4.65
2019-11-01,7.16
2019-12-01,5.47
2020-01-01,5.49
2020-02-01,
2020-03-01,3.9
2020-04-01,4.74
2020-05-01,5.45
2020-06-01,5.81
2020-07-01,4.79
2020-08-01,6.63
2020-09-01,5.67
2020-10-01,5.17
2020-11-01,6.73
2020-12-01,6.33
2021-01-01,6.1
2021-02-01,6.62
2021-03-01,6.07
2021-04-01,5.48
2021-05-01,6.36
2021-06-01,6.6
2021-07-01,7.69
2021-08-01,8.05
2021-09-01,8.29
2021-10-01,8.99
2021-11-01,10.45
2021-12-01,7.92
2022-01-01,7.74
2022-02-01,9.39
2022-03-01,8.08
2022-04-01,9.09
2022-05-01,11.41
2022-06-01,15.89
2022-07-01,11.53
2022-08-01,13.13
2022-09-01,13.52
2022-10-01,10.52
2022-11-01,8.91
2022-12-01,10.2
2023-01-01,8.2
2023-02-01,8.87
2023-03-01,5.96
2023-04-01,5.17
2023-05-01,5.6
2023-06-01,5.82
2023-07-01,6.46
2023-08-01,6.43
2023-09-01,6.26
2023-10-01,5.97
2023-11-01,6.38
2023-12-01,6.11
2024-01-01,6.57
2024-02-01,5.9
2024-03-01,5.05
2024-04-01,5.39
2024-05-01,5.32
2024-06-01,6.16
2024-07-01,6.04
2024-08-01,5.08
2024-09-01,5.31
2024-10-01,6.05
2024-11-01,6.14
2024-12-01,6.82
2025-01-01,7.4
2025-02-01,7.35
2025-03-01,7.22
2025-04-01,7.49
2025-05-01,7.37
2025-06-01,6.98
2025-07-01,7.06
2025-08-01,6.72
2025-09-01,6.53
2025-10-01,6.43
2025-11-01,6.99
2025-12-01,7.87
2026-01-01,8.85
2026-02-01,11.02
