Date,Value
2016-01-01,
2016-02-01,
2016-03-01,
2016-04-01,
2016-05-01,
2016-06-01,
2016-07-01,
2016-08-01,
2016-09-01,
2016-10-01,
2016-11-01,
2016-12-01,
2017-01-01,
2017-02-01,
2017-03-01,
2017-04-01,
2017-05-01,6.35
2017-06-01,
2017-07-01,
2017-08-01,
2017-09-01,
2017-10-01,
2017-11-01,
2017-12-01,
2018-01-01,
2018-02-01,
2018-03-01,
2018-04-01,6.33
2018-05-01,
2018-06-01,
2018-07-01,
2018-08-01,
2018-09-01,6.58
2018-10-01,6.72
2018-11-01,6.83
2018-12-01,
2019-01-01,
2019-02-01,3.81
2019-03-01,5.3
2019-04-01,4.91
2019-05-01,4.38
2019-06-01,3.15
2019-07-01,3.2
2019-08-01,3.86
2019-09-01,3.21
2019-10-01,6.55
2019-11-01,4.79
2019-12-01,5.98
2020-01-01,4.87
2020-02-01,4.91
2020-03-01,4.87
2020-04-01,5.17
2020-05-01,6.12
2020-06-01,6.13
2020-07-01,6.13
2020-08-01,
2020-09-01,5.37
2020-10-01,5.1
2020-11-01,6.3
2020-12-01,8.37
2021-01-01,5.57
2021-02-01,5.87
2021-03-01,5.81
2021-04-01,6.18
2021-05-01,6.3
2021-06-01,6.7
2021-07-01,6.48
2021-08-01,8.46
2021-09-01,8.08
2021-10-01,9.27
2021-11-01,10.43
2021-12-01,9.1
2022-01-01,7.98
2022-02-01,9.6
2022-03-01,8.02
2022-04-01,9.35
2022-05-01,12.24
2022-06-01,13.13
2022-07-01,13.87
2022-08-01,17.25
2022-09-01,16.84
2022-10-01,12.75
2022-11-01,12.37
2022-12-01,10.66
2023-01-01,11.95
2023-02-01,12.24
2023-03-01,8.15
2023-04-01,6.03
2023-05-01,6.27
2023-06-01,6.06
2023-07-01,6.71
2023-08-01,6.75
2023-09-01,6.81
2023-10-01,6.98
2023-11-01,8.58
2023-12-01,7.59
2024-01-01,8.06
2024-02-01,6.81
2024-03-01,5.14
2024-04-01,5.24
2024-05-01,5.0
2024-06-01,6.82
2024-07-01,6.4
2024-08-01,5.29
2024-09-01,5.98
2024-10-01,6.18
2024-11-01,6.8
2024-12-01,7.09
2025-01-01,9.01
2025-02-01,8.92
2025-03-01,8.84
2025-04-01,8.89
2025-05-01,7.05
2025-06-01,7.52
2025-07-01,7.53
2025-08-01,7.22
2025-09-01,7.76
2025-10-01,6.67
2025-11-01,8.64
2025-12-01,8.37
2026-01-01,8.61
2026-02-01,10.09
