Date,Value
2017-06-01,3.87
2018-03-01,5.89
2018-09-01,3.46
2018-10-01,5.13
2018-11-01,5.65
2018-12-01,6.87
2019-01-01,5.4
2019-02-01,3.52
2019-03-01,5.15
2019-08-01,6.2
2019-09-01,4.77
2019-10-01,5.23
2019-11-01,5.45
2019-12-01,5.5
2020-01-01,5.82
2020-02-01,5.52
2020-03-01,4.68
2020-07-01,4.91
2020-09-01,6.85
2020-10-01,5.64
2020-11-01,6.37
2020-12-01,6.23
2021-01-01,5.74
2021-02-01,6.16
2021-03-01,6.47
2021-04-01,6.91
2021-05-01,5.78
2021-09-01,7.83
2021-10-01,10.67
2021-11-01,10.21
2021-12-01,8.99
2022-01-01,8.25
2022-02-01,10.31
2022-03-01,8.38
2022-04-01,9.75
2022-05-01,12.21
2022-06-01,13.53
2022-07-01,11.18
2022-08-01,17.43
2022-09-01,17.75
2022-10-01,12.75
2022-11-01,12.9
2022-12-01,13.05
2023-01-01,11.07
2023-02-01,7.58
2023-03-01,7.95
2023-04-01,6.93
2023-05-01,5.8
2023-08-01,6.19
2023-09-01,7.14
2023-10-01,6.05
2023-11-01,6.66
2023-12-01,7.18
2024-01-01,7.41
2024-02-01,7.23
2024-03-01,6.47
2024-04-01,6.4
2024-05-01,7.48
2024-06-01,6.2
2024-07-01,6.9
2024-08-01,7.97
2024-09-01,7.05
2024-10-01,7.78
2024-11-01,7.15
2024-12-01,7.53
2025-01-01,8.7
2025-02-01,8.75
2025-03-01,9.02
2025-04-01,8.68
2025-05-01,7.62
2025-06-01,9.1
2025-07-01,6.06
2025-09-01,8.34
2025-10-01,7.48
2025-11-01,7.75
2025-12-01,8.18
2026-01-01,8.7
2026-02-01,11.01
