Date,Value
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,44032.0
2004-02-01,40965.0
2004-03-01,43443.0
2004-04-01,41413.0
2004-05-01,42733.0
2004-06-01,41484.0
2004-07-01,42137.0
2004-08-01,39685.0
2004-09-01,40301.0
2004-10-01,41662.0
2004-11-01,40910.0
2004-12-01,42537.0
2005-01-01,42073.0
2005-02-01,37671.0
2005-03-01,41682.0
2005-04-01,40004.0
2005-05-01,42015.0
2005-06-01,40617.0
2005-07-01,41290.0
2005-08-01,41344.0
2005-09-01,40108.0
2005-10-01,41668.0
2005-11-01,40347.0
2005-12-01,37901.0
2006-01-01,41258.0
2006-02-01,37562.0
2006-03-01,41639.0
2006-04-01,39612.0
2006-05-01,41100.0
2006-06-01,39502.0
2006-07-01,40687.0
2006-08-01,41240.0
2006-09-01,38207.0
2006-10-01,40790.0
2006-11-01,39281.0
2006-12-01,40227.0
2007-01-01,44082.0
2007-02-01,39816.0
2007-03-01,44082.0
2007-04-01,42660.0
2007-05-01,44082.0
2007-06-01,42660.0
2007-07-01,44082.0
2007-08-01,44082.0
2007-09-01,42660.0
2007-10-01,44082.0
2007-11-01,42660.0
2007-12-01,44082.0
2008-01-01,45942.0
2008-02-01,42978.0
2008-03-01,45942.0
2008-04-01,44460.0
2008-05-01,45942.0
2008-06-01,44460.0
2008-07-01,45942.0
2008-08-01,45942.0
2008-09-01,44460.0
2008-10-01,45942.0
2008-11-01,44460.0
2008-12-01,45942.0
2009-01-01,46221.0
2009-02-01,41748.0
2009-03-01,46221.0
2009-04-01,44730.0
2009-05-01,46221.0
2009-06-01,44730.0
2009-07-01,46221.0
2009-08-01,46221.0
2009-09-01,44730.0
2009-10-01,46221.0
2009-11-01,44730.0
2009-12-01,46221.0
2010-01-01,44286.0
2010-02-01,41103.0
2010-03-01,44930.0
2010-04-01,43014.0
2010-05-01,45357.0
2010-06-01,44215.0
2010-07-01,43402.0
2010-08-01,45028.0
2010-09-01,44326.0
2010-10-01,47102.0
2010-11-01,41894.0
2010-12-01,45233.0
2011-01-01,44288.0
2011-02-01,41040.0
2011-03-01,44182.0
2011-04-01,40541.0
2011-05-01,43635.0
2011-06-01,41313.0
2011-07-01,42941.0
2011-08-01,44669.0
2011-09-01,42387.0
2011-10-01,44006.0
2011-11-01,42009.0
2011-12-01,43521.0
2012-01-01,35353.0
2012-02-01,30175.0
2012-03-01,33009.0
2012-04-01,31103.0
2012-05-01,32438.0
2012-06-01,30507.0
2012-07-01,31075.0
2012-08-01,30722.0
2012-09-01,30042.0
2012-10-01,31508.0
2012-11-01,30044.0
2012-12-01,30567.0
2013-01-01,39362.0
2013-02-01,35715.0
2013-03-01,39200.0
2013-04-01,37763.0
2013-05-01,38496.0
2013-06-01,36301.0
2013-07-01,38418.0
2013-08-01,38378.0
2013-09-01,34955.0
2013-10-01,38107.0
2013-11-01,36952.0
2013-12-01,35634.0
2014-01-01,36508.0
2014-02-01,32975.0
2014-03-01,36508.0
2014-04-01,34619.0
2014-05-01,35773.0
2014-06-01,34619.0
2014-07-01,35365.0
2014-08-01,35365.0
2014-09-01,34225.0
2014-10-01,35187.0
2014-11-01,34052.0
2014-12-01,35187.0
2015-01-01,34178.0
2015-02-01,30860.0
2015-03-01,33924.0
2015-04-01,32746.0
2015-05-01,33474.0
2015-06-01,31912.0
2015-07-01,33306.0
2015-08-01,33420.0
2015-09-01,32151.0
2015-10-01,33045.0
2015-11-01,31871.0
2015-12-01,32244.0
2016-01-01,31680.0
2016-02-01,29670.0
2016-03-01,32038.0
2016-04-01,30970.0
2016-05-01,31548.0
2016-06-01,29873.0
2016-07-01,31176.0
2016-08-01,31327.0
2016-09-01,30517.0
2016-10-01,31491.0
2016-11-01,30027.0
2016-12-01,30679.0
2017-01-01,30080.0
2017-02-01,27097.0
2017-03-01,29682.0
2017-04-01,28984.0
2017-05-01,29558.0
2017-06-01,28403.0
2017-07-01,29342.0
2017-08-01,29032.0
2017-09-01,28587.0
2017-10-01,29697.0
2017-11-01,28676.0
