Date,Value
2006-01-01,6618.0
2006-02-01,6083.0
2006-03-01,6839.0
2006-04-01,6513.0
2006-05-01,6862.0
2006-06-01,6862.0
2006-07-01,6936.0
2006-08-01,6987.0
2006-09-01,6922.0
2006-10-01,6970.0
2006-11-01,6927.0
2006-12-01,7107.0
2007-01-01,7327.0
2007-02-01,6618.0
2007-03-01,7327.0
2007-04-01,7091.0
2007-05-01,7327.0
2007-06-01,7091.0
2007-07-01,7327.0
2007-08-01,7327.0
2007-09-01,7091.0
2007-10-01,7327.0
2007-11-01,7091.0
2007-12-01,7327.0
2008-01-01,8603.0
2008-02-01,8048.0
2008-03-01,8603.0
2008-04-01,8325.0
2008-05-01,8603.0
2008-06-01,8325.0
2008-07-01,8603.0
2008-08-01,8603.0
2008-09-01,8325.0
2008-10-01,8603.0
2008-11-01,8325.0
2008-12-01,8603.0
2009-01-01,9037.0
2009-02-01,8163.0
2009-03-01,9037.0
2009-04-01,8746.0
2009-05-01,9037.0
2009-06-01,8746.0
2009-07-01,9037.0
2009-08-01,9037.0
2009-09-01,8746.0
2009-10-01,9037.0
2009-11-01,8746.0
2009-12-01,9037.0
2010-01-01,9166.0
2010-02-01,8314.0
2010-03-01,9076.0
2010-04-01,8726.0
2010-05-01,9157.0
2010-06-01,8865.0
2010-07-01,9166.0
2010-08-01,9188.0
2010-09-01,8974.0
2010-10-01,9047.0
2010-11-01,8882.0
2010-12-01,9175.0
2011-01-01,9367.0
2011-02-01,8771.0
2011-03-01,9326.0
2011-04-01,9200.0
2011-05-01,9522.0
2011-06-01,9162.0
2011-07-01,9602.0
2011-08-01,9755.0
2011-09-01,9275.0
2011-10-01,9519.0
2011-11-01,9137.0
2011-12-01,9583.0
2012-01-01,9481.0
2012-02-01,8718.0
2012-03-01,9114.0
2012-04-01,8687.0
2012-05-01,9018.0
2012-06-01,9067.0
2012-07-01,8757.0
2012-08-01,9170.0
2012-09-01,8740.0
2012-10-01,8916.0
2012-11-01,8694.0
2012-12-01,9021.0
2013-01-01,8617.0
2013-02-01,7797.0
2013-03-01,8695.0
2013-04-01,8348.0
2013-05-01,8506.0
2013-06-01,8220.0
2013-07-01,8320.0
2013-08-01,8236.0
2013-09-01,8044.0
2013-10-01,8407.0
2013-11-01,8058.0
2013-12-01,8295.0
2014-01-01,9773.0
2014-02-01,8737.0
2014-03-01,9461.0
2014-04-01,9234.0
2014-05-01,9440.0
2014-06-01,9111.0
2014-07-01,9374.0
2014-08-01,9370.0
2014-09-01,9016.0
2014-10-01,9362.0
2014-11-01,9044.0
2014-12-01,9275.0
2015-01-01,9233.0
2015-02-01,8109.0
2015-03-01,8985.0
2015-04-01,8749.0
2015-05-01,8981.0
2015-06-01,8590.0
2015-07-01,8816.0
2015-08-01,8822.0
2015-09-01,8505.0
2015-10-01,8771.0
2015-11-01,8494.0
2015-12-01,8685.0
2016-01-01,8540.0
2016-02-01,8116.0
2016-03-01,8548.0
2016-04-01,8093.0
2016-05-01,8481.0
2016-06-01,8143.0
2016-07-01,8300.0
2016-08-01,8146.0
2016-09-01,8130.0
2016-10-01,8416.0
2016-11-01,8132.0
2016-12-01,8368.0
2017-01-01,8278.0
2017-02-01,7481.0
2017-03-01,8213.0
2017-04-01,7952.0
2017-05-01,8231.0
2017-06-01,7861.0
2017-07-01,7985.0
2017-08-01,8004.0
