Date,Value
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,37851.0
2007-02-01,34188.0
2007-03-01,37851.0
2007-04-01,36630.0
2007-05-01,37851.0
2007-06-01,36630.0
2007-07-01,37851.0
2007-08-01,37851.0
2007-09-01,36630.0
2007-10-01,37851.0
2007-11-01,36630.0
2007-12-01,37851.0
2008-01-01,47709.0
2008-02-01,44631.0
2008-03-01,47709.0
2008-04-01,46170.0
2008-05-01,47709.0
2008-06-01,46170.0
2008-07-01,47709.0
2008-08-01,47709.0
2008-09-01,46170.0
2008-10-01,47709.0
2008-11-01,46170.0
2008-12-01,47709.0
2009-01-01,50127.0
2009-02-01,45276.0
2009-03-01,50127.0
2009-04-01,48510.0
2009-05-01,50127.0
2009-06-01,48510.0
2009-07-01,50127.0
2009-08-01,50127.0
2009-09-01,48510.0
2009-10-01,50127.0
2009-11-01,48510.0
2009-12-01,50127.0
2010-01-01,49783.0
2010-02-01,45081.0
2010-03-01,50036.0
2010-04-01,48142.0
2010-05-01,48784.0
2010-06-01,45125.0
2010-07-01,47843.0
2010-08-01,48723.0
2010-09-01,46310.0
2010-10-01,47092.0
2010-11-01,46079.0
2010-12-01,46668.0
2011-01-01,44701.0
2011-02-01,39724.0
2011-03-01,44454.0
2011-04-01,42050.0
2011-05-01,42567.0
2011-06-01,41782.0
2011-07-01,44419.0
2011-08-01,40597.0
2011-09-01,42036.0
2011-10-01,42494.0
2011-11-01,42032.0
2011-12-01,41882.0
2012-01-01,40705.0
2012-02-01,36947.0
2012-03-01,39576.0
2012-04-01,36765.0
2012-05-01,37435.0
2012-06-01,35909.0
2012-07-01,35393.0
2012-08-01,35092.0
2012-09-01,33753.0
2012-10-01,33446.0
2012-11-01,32841.0
2012-12-01,31869.0
2013-01-01,29849.0
2013-02-01,27369.0
2013-03-01,30381.0
2013-04-01,28284.0
2013-05-01,27977.0
2013-06-01,27799.0
2013-07-01,28146.0
2013-08-01,27966.0
2013-09-01,25294.0
2013-10-01,25953.0
2013-11-01,25058.0
2013-12-01,24705.0
2014-01-01,23864.0
2014-02-01,21554.0
2014-03-01,23864.0
2014-04-01,22058.0
2014-05-01,22793.0
2014-06-01,22058.0
2014-07-01,22061.0
2014-08-01,22061.0
2014-09-01,21349.0
2014-10-01,21054.0
2014-11-01,20375.0
2014-12-01,21054.0
2015-01-01,19236.0
2015-02-01,17112.0
2015-03-01,18617.0
2015-04-01,17776.0
2015-05-01,17872.0
2015-06-01,16768.0
2015-07-01,16709.0
2015-08-01,16422.0
2015-09-01,15593.0
2015-10-01,16088.0
2015-11-01,15001.0
2015-12-01,15233.0
2016-01-01,14843.0
2016-02-01,13594.0
2016-03-01,14334.0
2016-04-01,13606.0
2016-05-01,13746.0
2016-06-01,13149.0
2016-07-01,13566.0
2016-08-01,13605.0
2016-09-01,13144.0
2016-10-01,13538.0
2016-11-01,12990.0
2016-12-01,12847.0
2017-01-01,12688.0
2017-02-01,11448.0
2017-03-01,12653.0
2017-04-01,11961.0
2017-05-01,12208.0
2017-06-01,11776.0
2017-07-01,11917.0
2017-08-01,11916.0
2017-09-01,11485.0
2017-10-01,11734.0
2017-11-01,11178.0
2017-12-01,11208.0
2018-01-01,10736.0
2018-02-01,9425.0
