Date,Value
2007-01-01,7138.0
2007-02-01,6448.0
2007-03-01,7138.0
2007-04-01,6908.0
2007-05-01,7138.0
2007-06-01,6908.0
2007-07-01,7138.0
2007-08-01,7138.0
2007-09-01,6908.0
2007-10-01,7138.0
2007-11-01,6908.0
2007-12-01,7138.0
2008-01-01,22507.0
2008-02-01,21055.0
2008-03-01,22507.0
2008-04-01,21781.0
2008-05-01,22507.0
2008-06-01,21781.0
2008-07-01,22507.0
2008-08-01,22507.0
2008-09-01,21781.0
2008-10-01,22507.0
2008-11-01,21781.0
2008-12-01,22507.0
2009-01-01,43362.0
2009-02-01,39166.0
2009-03-01,43362.0
2009-04-01,41963.0
2009-05-01,43362.0
2009-06-01,41963.0
2009-07-01,43362.0
2009-08-01,43362.0
2009-09-01,41963.0
2009-10-01,43362.0
2009-11-01,41963.0
2009-12-01,43362.0
2010-01-01,56513.0
2010-02-01,51742.0
2010-03-01,58441.0
2010-04-01,60346.0
2010-05-01,62876.0
2010-06-01,61998.0
2010-07-01,67015.0
2010-08-01,69033.0
2010-09-01,67447.0
2010-10-01,71380.0
2010-11-01,69328.0
2010-12-01,73561.0
2011-01-01,72843.0
2011-02-01,66715.0
2011-03-01,75333.0
2011-04-01,74018.0
2011-05-01,77112.0
2011-06-01,80345.0
2011-07-01,76142.0
2011-08-01,82874.0
2011-09-01,80977.0
2011-10-01,82901.0
2011-11-01,80530.0
2011-12-01,85447.0
2012-01-01,85470.0
2012-02-01,76387.0
2012-03-01,85462.0
2012-04-01,83173.0
2012-05-01,85092.0
2012-06-01,82434.0
2012-07-01,85357.0
2012-08-01,87678.0
2012-09-01,85620.0
2012-10-01,89050.0
2012-11-01,86786.0
2012-12-01,88975.0
2013-01-01,87772.0
2013-02-01,77706.0
2013-03-01,85510.0
2013-04-01,83884.0
2013-05-01,87431.0
2013-06-01,84530.0
2013-07-01,87409.0
2013-08-01,88130.0
2013-09-01,84866.0
2013-10-01,89022.0
2013-11-01,86129.0
2013-12-01,86706.0
2014-01-01,86449.0
2014-02-01,78083.0
2014-03-01,86449.0
2014-04-01,84018.0
2014-05-01,86819.0
2014-06-01,84018.0
2014-07-01,86156.0
2014-08-01,86156.0
2014-09-01,83377.0
2014-10-01,85617.0
2014-11-01,82855.0
2014-12-01,85617.0
2015-01-01,82282.0
2015-02-01,71210.0
2015-03-01,81279.0
2015-04-01,79975.0
2015-05-01,82003.0
2015-06-01,77028.0
2015-07-01,78046.0
2015-08-01,76328.0
2015-09-01,74147.0
2015-10-01,75563.0
2015-11-01,72173.0
2015-12-01,73254.0
2016-01-01,69277.0
2016-02-01,63995.0
2016-03-01,66355.0
2016-04-01,63046.0
2016-05-01,63821.0
2016-06-01,59681.0
2016-07-01,60357.0
2016-08-01,59276.0
2016-09-01,56621.0
2016-10-01,58103.0
2016-11-01,55731.0
2016-12-01,55761.0
2017-01-01,54428.0
2017-02-01,49476.0
2017-03-01,53562.0
2017-04-01,51572.0
2017-05-01,52696.0
2017-06-01,50228.0
2017-07-01,50575.0
2017-08-01,50208.0
2017-09-01,47772.0
2017-10-01,48868.0
2017-11-01,46824.0
2017-12-01,47141.0
2018-01-01,43640.0
2018-02-01,39350.0
2018-03-01,43129.0
2018-04-01,43672.0
2018-05-01,43817.0
2018-06-01,41823.0
2018-07-01,42330.0
2018-08-01,42496.0
2018-09-01,40862.0
2018-10-01,42163.0
2018-11-01,40581.0
2018-12-01,41442.0
2019-01-01,40798.0
2019-02-01,36207.0
2019-03-01,39667.0
2019-04-01,38189.0
2019-05-01,38657.0
2019-06-01,36238.0
2019-07-01,37901.0
2019-08-01,37602.0
2019-09-01,36031.0
2019-10-01,37105.0
2019-11-01,35972.0
2019-12-01,36915.0
2020-01-01,36366.0
2020-02-01,33489.0
2020-03-01,37308.0
2020-04-01,34148.0
2020-05-01,34731.0
2020-06-01,33223.0
2020-07-01,31563.0
2020-08-01,34319.0
2020-09-01,32984.0
2020-10-01,34228.0
2020-11-01,32819.0
2020-12-01,33530.0
2021-01-01,32713.0
2021-02-01,25090.0
2021-03-01,36066.0
2021-04-01,32041.0
2021-05-01,32685.0
2021-06-01,31251.0
2021-07-01,32221.0
2021-08-01,31974.0
2021-09-01,30897.0
2021-10-01,31790.0
2021-11-01,30530.0
2021-12-01,31152.0
2022-01-01,30334.0
2022-02-01,27119.0
2022-03-01,30408.0
2022-04-01,29335.0
2022-05-01,29954.0
2022-06-01,28706.0
2022-07-01,29415.0
2022-08-01,29513.0
2022-09-01,28515.0
2022-10-01,29280.0
2022-11-01,27998.0
2022-12-01,27540.0
2023-01-01,28775.0
2023-02-01,25676.0
2023-03-01,28384.0
2023-04-01,27084.0
2023-05-01,27753.0
2023-06-01,26588.0
2023-07-01,27221.0
2023-08-01,27091.0
2023-09-01,26203.0
2023-10-01,26894.0
2023-11-01,25850.0
2023-12-01,26036.0
2024-01-01,23684.0
2024-02-01,24251.0
2024-03-01,25857.0
2024-04-01,24633.0
2024-05-01,25241.0
2024-06-01,24065.0
2024-07-01,25007.0
2024-08-01,24957.0
2024-09-01,24043.0
2024-10-01,24594.0
2024-11-01,23777.0
2024-12-01,23648.0
2025-01-01,
2025-02-01,
2025-03-01,
2025-04-01,
2025-05-01,
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2025-11-01,
2025-12-01,
2026-01-01,
2026-02-01,
