Date,Value
2007-01-01,598.0
2007-02-01,541.0
2007-03-01,598.0
2007-04-01,579.0
2007-05-01,598.0
2007-06-01,579.0
2007-07-01,598.0
2007-08-01,598.0
2007-09-01,579.0
2007-10-01,598.0
2007-11-01,579.0
2007-12-01,598.0
2008-01-01,1572.0
2008-02-01,1470.0
2008-03-01,1572.0
2008-04-01,1521.0
2008-05-01,1572.0
2008-06-01,1521.0
2008-07-01,1572.0
2008-08-01,1572.0
2008-09-01,1521.0
2008-10-01,1572.0
2008-11-01,1521.0
2008-12-01,1572.0
2009-01-01,3011.0
2009-02-01,2719.0
2009-03-01,3011.0
2009-04-01,2914.0
2009-05-01,3011.0
2009-06-01,2914.0
2009-07-01,3011.0
2009-08-01,3011.0
2009-09-01,2914.0
2009-10-01,3011.0
2009-11-01,2914.0
2009-12-01,3011.0
2010-01-01,3782.0
2010-02-01,3686.0
2010-03-01,4182.0
2010-04-01,4656.0
2010-05-01,5141.0
2010-06-01,5034.0
2010-07-01,5947.0
2010-08-01,6072.0
2010-09-01,6098.0
2010-10-01,6851.0
2010-11-01,6855.0
2010-12-01,6757.0
2011-01-01,7040.0
2011-02-01,6402.0
2011-03-01,7453.0
2011-04-01,7457.0
2011-05-01,7819.0
2011-06-01,8244.0
2011-07-01,9999.0
2011-08-01,10744.0
2011-09-01,10958.0
2011-10-01,12645.0
2011-11-01,12690.0
2011-12-01,13549.0
2012-01-01,14518.0
2012-02-01,13934.0
2012-03-01,15737.0
2012-04-01,16160.0
2012-05-01,17677.0
2012-06-01,17703.0
2012-07-01,19188.0
2012-08-01,20318.0
2012-09-01,20552.0
2012-10-01,21244.0
2012-11-01,20129.0
2012-12-01,21714.0
2013-01-01,21695.0
2013-02-01,20649.0
2013-03-01,23181.0
2013-04-01,22801.0
2013-05-01,24622.0
2013-06-01,24714.0
2013-07-01,27131.0
2013-08-01,28133.0
2013-09-01,28786.0
2013-10-01,29927.0
2013-11-01,29311.0
2013-12-01,27671.0
2014-01-01,28989.0
2014-02-01,27446.0
2014-03-01,31132.0
2014-04-01,31144.0
2014-05-01,33767.0
2014-06-01,34283.0
2014-07-01,37195.0
2014-08-01,38771.0
2014-09-01,39569.0
2014-10-01,41342.0
2014-11-01,40039.0
2014-12-01,43611.0
2015-01-01,43094.0
2015-02-01,39124.0
2015-03-01,44714.0
2015-04-01,43527.0
2015-05-01,47594.0
2015-06-01,46985.0
2015-07-01,48920.0
2015-08-01,48545.0
2015-09-01,45901.0
2015-10-01,49049.0
2015-11-01,48145.0
2015-12-01,49574.0
2016-01-01,48631.0
2016-02-01,46977.0
2016-03-01,50878.0
2016-04-01,46743.0
2016-05-01,48826.0
2016-06-01,47664.0
2016-07-01,50296.0
2016-08-01,48492.0
2016-09-01,46181.0
2016-10-01,50975.0
2016-11-01,50627.0
2016-12-01,45605.0
2017-01-01,46514.0
2017-02-01,46201.0
2017-03-01,51824.0
2017-04-01,53276.0
2017-05-01,55445.0
2017-06-01,53535.0
2017-07-01,56895.0
2017-08-01,58425.0
2017-09-01,56409.0
2017-10-01,62055.0
2017-11-01,61089.0
2017-12-01,62858.0
2018-01-01,61636.0
2018-02-01,56620.0
2018-03-01,62955.0
2018-04-01,64439.0
2018-05-01,68722.0
2018-06-01,66090.0
2018-07-01,71306.0
2018-08-01,72296.0
2018-09-01,71798.0
2018-10-01,75098.0
2018-11-01,71252.0
2018-12-01,77337.0
2019-01-01,81327.0
2019-02-01,71358.0
2019-03-01,84013.0
2019-04-01,81775.0
2019-05-01,83934.0
2019-06-01,83351.0
2019-07-01,87702.0
2019-08-01,89629.0
2019-09-01,85128.0
2019-10-01,92076.0
2019-11-01,90752.0
2019-12-01,91757.0
2020-01-01,92210.0
2020-02-01,88879.0
2020-03-01,95972.0
2020-04-01,80720.0
2020-05-01,59118.0
2020-06-01,58349.0
2020-07-01,70373.0
2020-08-01,80706.0
2020-09-01,83227.0
2020-10-01,88387.0
2020-11-01,85554.0
2020-12-01,88381.0
2021-01-01,87242.0
2021-02-01,74797.0
2021-03-01,87754.0
2021-04-01,86928.0
2021-05-01,91511.0
2021-06-01,88720.0
2021-07-01,88202.0
2021-08-01,90813.0
2021-09-01,89594.0
2021-10-01,91809.0
2021-11-01,91424.0
2021-12-01,92852.0
2022-01-01,87090.0
2022-02-01,79570.0
2022-03-01,92384.0
2022-04-01,72813.0
2022-05-01,85510.0
2022-06-01,90800.0
2022-07-01,95150.0
2022-08-01,94613.0
2022-09-01,94337.0
2022-10-01,96736.0
2022-11-01,90396.0
2022-12-01,81173.0
2023-01-01,87479.0
2023-02-01,84544.0
2023-03-01,93853.0
2023-04-01,92902.0
2023-05-01,97210.0
2023-06-01,96601.0
2023-07-01,101550.0
2023-08-01,102436.0
2023-09-01,102860.0
2023-10-01,105188.0
2023-11-01,103454.0
2023-12-01,108774.0
2024-01-01,92307.0
2024-02-01,97014.0
2024-03-01,104302.0
2024-04-01,103370.0
2024-05-01,108000.0
2024-06-01,103971.0
2024-07-01,106582.0
2024-08-01,108535.0
2024-09-01,106236.0
2024-10-01,105660.0
2024-11-01,103633.0
2024-12-01,104174.0
2025-01-01,
2025-02-01,
2025-03-01,
2025-04-01,
2025-05-01,
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2025-11-01,
2025-12-01,
2026-01-01,
2026-02-01,
