Date,Value
2006-01-01,149.0
2006-02-01,147.0
2006-03-01,143.0
2006-04-01,142.0
2006-05-01,138.0
2006-06-01,137.0
2006-07-01,156.0
2006-08-01,155.0
2006-09-01,158.0
2006-10-01,167.0
2006-11-01,172.0
2006-12-01,175.0
2007-01-01,146.0
2007-02-01,144.0
2007-03-01,141.0
2007-04-01,139.0
2007-05-01,136.0
2007-06-01,135.0
2007-07-01,153.0
2007-08-01,152.0
2007-09-01,155.0
2007-10-01,164.0
2007-11-01,169.0
2007-12-01,172.0
2008-01-01,134.0
2008-02-01,128.0
2008-03-01,129.0
2008-04-01,128.0
2008-05-01,124.0
2008-06-01,123.0
2008-07-01,140.0
2008-08-01,139.0
2008-09-01,142.0
2008-10-01,150.0
2008-11-01,155.0
2008-12-01,157.0
2009-01-01,119.0
2009-02-01,118.0
2009-03-01,115.0
2009-04-01,114.0
2009-05-01,111.0
2009-06-01,110.0
2009-07-01,125.0
2009-08-01,124.0
2009-09-01,127.0
2009-10-01,134.0
2009-11-01,138.0
2009-12-01,140.0
2010-01-01,95.0
2010-02-01,94.0
2010-03-01,92.0
2010-04-01,91.0
2010-05-01,89.0
2010-06-01,88.0
2010-07-01,99.0
2010-08-01,99.0
2010-09-01,101.0
2010-10-01,107.0
2010-11-01,110.0
2010-12-01,112.0
2011-01-01,83.0
2011-02-01,82.0
2011-03-01,80.0
2011-04-01,79.0
2011-05-01,77.0
2011-06-01,76.0
2011-07-01,86.0
2011-08-01,86.0
2011-09-01,88.0
2011-10-01,93.0
2011-11-01,96.0
2011-12-01,97.0
2012-01-01,73.0
2012-02-01,72.0
2012-03-01,72.0
2012-04-01,72.0
2012-05-01,72.0
2012-06-01,72.0
2012-07-01,72.0
2012-08-01,72.0
2012-09-01,72.0
2012-10-01,72.0
2012-11-01,72.0
2012-12-01,72.0
2013-01-01,65.0
2013-02-01,66.0
2013-03-01,64.0
2013-04-01,64.0
2013-05-01,64.0
2013-06-01,64.0
2013-07-01,64.0
2013-08-01,64.0
2013-09-01,64.0
2013-10-01,64.0
2013-11-01,64.0
2013-12-01,64.0
2014-01-01,55.0
2014-02-01,55.0
2014-03-01,55.0
2014-04-01,55.0
2014-05-01,55.0
2014-06-01,55.0
2014-07-01,55.0
2014-08-01,55.0
2014-09-01,55.0
2014-10-01,55.0
2014-11-01,55.0
2014-12-01,55.0
2015-01-01,47.0
2015-02-01,47.0
2015-03-01,47.0
2015-04-01,47.0
2015-05-01,47.0
2015-06-01,47.0
2015-07-01,47.0
2015-08-01,47.0
2015-09-01,47.0
2015-10-01,47.0
2015-11-01,47.0
2015-12-01,47.0
2016-01-01,37.0
2016-02-01,37.0
2016-03-01,37.0
2016-04-01,37.0
2016-05-01,37.0
2016-06-01,37.0
2016-07-01,37.0
2016-08-01,37.0
2016-09-01,37.0
2016-10-01,37.0
2016-11-01,37.0
2016-12-01,37.0
2017-01-01,31.0
2017-02-01,31.0
2017-03-01,31.0
2017-04-01,31.0
2017-05-01,31.0
2017-06-01,31.0
2017-07-01,31.0
2017-08-01,31.0
2017-09-01,31.0
2017-10-01,31.0
2017-11-01,31.0
2017-12-01,31.0
2018-01-01,29.0
2018-02-01,29.0
2018-03-01,29.0
2018-04-01,29.0
2018-05-01,29.0
2018-06-01,29.0
2018-07-01,29.0
2018-08-01,29.0
2018-09-01,29.0
2018-10-01,29.0
2018-11-01,29.0
2018-12-01,29.0
2019-01-01,30.0
2019-02-01,30.0
2019-03-01,30.0
2019-04-01,30.0
2019-05-01,30.0
2019-06-01,30.0
2019-07-01,30.0
2019-08-01,30.0
2019-09-01,30.0
2019-10-01,30.0
2019-11-01,30.0
2019-12-01,30.0
2020-01-01,26.0
2020-02-01,26.0
2020-03-01,26.0
2020-04-01,26.0
2020-05-01,26.0
2020-06-01,26.0
2020-07-01,26.0
2020-08-01,26.0
2020-09-01,26.0
2020-10-01,26.0
2020-11-01,26.0
2020-12-01,26.0
2021-01-01,27.0
2021-02-01,27.0
2021-03-01,27.0
2021-04-01,27.0
2021-05-01,27.0
2021-06-01,27.0
2021-07-01,27.0
2021-08-01,27.0
2021-09-01,27.0
2021-10-01,27.0
2021-11-01,27.0
2021-12-01,27.0
2022-01-01,26.0
2022-02-01,26.0
2022-03-01,26.0
2022-04-01,26.0
2022-05-01,26.0
2022-06-01,26.0
2022-07-01,26.0
2022-08-01,26.0
2022-09-01,26.0
2022-10-01,26.0
2022-11-01,26.0
2022-12-01,26.0
2023-01-01,23.0
2023-02-01,23.0
2023-03-01,23.0
2023-04-01,23.0
2023-05-01,23.0
2023-06-01,23.0
2023-07-01,23.0
2023-08-01,23.0
2023-09-01,23.0
2023-10-01,23.0
2023-11-01,23.0
2023-12-01,23.0
2024-01-01,24.0
2024-02-01,24.0
2024-03-01,24.0
2024-04-01,24.0
2024-05-01,24.0
2024-06-01,24.0
2024-07-01,24.0
2024-08-01,24.0
2024-09-01,24.0
2024-10-01,24.0
2024-11-01,24.0
2024-12-01,24.0
2025-01-01,
2025-02-01,
2025-03-01,
2025-04-01,
2025-05-01,
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2025-11-01,
2025-12-01,
2026-01-01,
2026-02-01,
