Date,Value
2006-01-01,919
2006-02-01,931
2006-03-01,941
2006-04-01,945
2006-05-01,953
2006-06-01,956
2006-07-01,948
2006-08-01,987
2006-09-01,1010
2006-10-01,1023
2006-11-01,1046
2006-12-01,1053
2007-01-01,997
2007-02-01,1050
2007-03-01,1093
2007-04-01,1098
2007-05-01,1126
2007-06-01,1083
2007-07-01,1091
2007-08-01,1098
2007-09-01,984
2007-10-01,900
2007-11-01,1057
2007-12-01,1092
2008-01-01,1092
2008-02-01,1130
2008-03-01,1148
2008-04-01,1185
2008-05-01,1196
2008-06-01,1198
2008-07-01,1200
2008-08-01,1277
2008-09-01,1276
2008-10-01,1241
2008-11-01,1275
2008-12-01,1259
2009-01-01,1273
2009-02-01,1289
2009-03-01,1300
2009-04-01,1278
2009-05-01,1254
2009-06-01,1218
2009-07-01,1224
2009-08-01,1222
2009-09-01,1178
2009-10-01,1195
2009-11-01,1203
2009-12-01,1148
2010-01-01,1146
2010-02-01,1169
2010-03-01,1188
2010-04-01,1223
2010-05-01,1234
2010-06-01,1216
2010-07-01,1198
2010-08-01,1200
2010-09-01,1200
2010-10-01,1207
2010-11-01,1179
2010-12-01,1201
2011-01-01,1162
2011-02-01,1205
2011-03-01,1237
2011-04-01,1269
2011-05-01,1290
2011-06-01,1287
2011-07-01,1294
2011-08-01,1298
2011-09-01,1286
2011-10-01,1287
2011-11-01,1293
2011-12-01,1262
2012-01-01,1288
2012-02-01,1338
2012-03-01,1341
2012-04-01,1339
2012-05-01,1348
2012-06-01,1363
2012-07-01,1370
2012-08-01,1353
2012-09-01,1375
2012-10-01,1375
2012-11-01,1318
2012-12-01,1271
2013-01-01,1228
2013-02-01,1295
2013-03-01,1297
2013-04-01,1320
2013-05-01,1301
2013-06-01,1295
2013-07-01,1299
2013-08-01,1320
2013-09-01,1324
2013-10-01,1307
2013-11-01,1285
2013-12-01,1211
2014-01-01,1253
2014-02-01,1270
2014-03-01,1277
2014-04-01,1286
2014-05-01,1274
2014-06-01,1276
2014-07-01,1260
2014-08-01,1245
2014-09-01,1225
2014-10-01,1201
2014-11-01,1196
2014-12-01,1183
2015-01-01,1196
2015-02-01,1213
2015-03-01,1265
2015-04-01,1254
2015-05-01,1227
2015-06-01,1207
2015-07-01,1166
2015-08-01,1054
2015-09-01,1022
2015-10-01,1005
2015-11-01,1016
2015-12-01,1092
2016-01-01,1087
2016-02-01,1061
2016-03-01,1063
2016-04-01,1048
2016-05-01,1022
2016-06-01,991
2016-07-01,980
2016-08-01,978
2016-09-01,963
2016-10-01,942
2016-11-01,929
2016-12-01,914
2017-01-01,894
2017-02-01,895
2017-03-01,888
2017-04-01,888
2017-05-01,889
2017-06-01,877
2017-07-01,854
2017-08-01,852
2017-09-01,847
2017-10-01,837
2017-11-01,831
2017-12-01,814
2018-01-01,824
2018-02-01,830
2018-03-01,844
2018-04-01,834
2018-05-01,819
2018-06-01,820
2018-07-01,811
2018-08-01,808
2018-09-01,807
2018-10-01,786
2018-11-01,781
2018-12-01,762
2019-01-01,748
2019-02-01,752
2019-03-01,754
2019-04-01,760
2019-05-01,762
2019-06-01,764
2019-07-01,745
2019-08-01,754
2019-09-01,738
2019-10-01,729
2019-11-01,731
2019-12-01,729
2020-01-01,709
2020-02-01,704
2020-03-01,704
2020-04-01,680
2020-05-01,657
2020-06-01,643
2020-07-01,657
2020-08-01,642
2020-09-01,645
2020-10-01,647
2020-11-01,641
2020-12-01,625
2021-01-01,627
2021-02-01,648
2021-03-01,659
2021-04-01,661
2021-05-01,657
2021-06-01,652
2021-07-01,666
2021-08-01,658
2021-09-01,666
2021-10-01,662
2021-11-01,668
2021-12-01,665
2022-01-01,672
2022-02-01,666
2022-03-01,696
2022-04-01,711
2022-05-01,722
2022-06-01,728
2022-07-01,733
2022-08-01,762
2022-09-01,730
2022-10-01,699
2022-11-01,720
2022-12-01,723
2023-01-01,719
2023-02-01,716
2023-03-01,707
2023-04-01,749
2023-05-01,804
2023-06-01,808
2023-07-01,805
2023-08-01,812
2023-09-01,820
2023-10-01,833
2023-11-01,877
2023-12-01,873
2024-01-01,870
2024-02-01,856
2024-03-01,848
2024-04-01,835
2024-05-01,819
2024-06-01,835
2024-07-01,833
2024-08-01,817
2024-09-01,822
2024-10-01,845
2024-11-01,821
2024-12-01,842
2025-01-01,881
2025-02-01,903
2025-03-01,915
2025-04-01,935
2025-05-01,943
2025-06-01,939
2025-07-01,945
2025-08-01,936
2025-09-01,956
2025-10-01,939
2025-11-01,917
2025-12-01,923
2026-01-01,956
2026-02-01,970
