Date,Value
2013-11-01,109
2014-02-01,41
2014-12-01,23
2015-03-01,46
2015-04-01,39
2015-05-01,34
2015-06-01,41
2015-07-01,41
2015-08-01,39
2015-09-01,40
2015-10-01,41
2015-11-01,43
2015-12-01,37
2016-01-01,41
2016-02-01,38
2016-03-01,43
2016-04-01,55
2016-05-01,110
2016-06-01,112
2016-07-01,64
2016-08-01,77
2016-09-01,66
2016-10-01,47
2016-11-01,23
2017-04-01,178
2017-05-01,208
2017-06-01,204
2017-07-01,206
2017-08-01,219
2017-09-01,172
2017-10-01,107
2017-11-01,153
2018-01-01,5
2018-02-01,5
2018-03-01,38
2018-04-01,189
2018-05-01,216
2018-06-01,208
2018-07-01,218
2018-08-01,232
2018-09-01,181
2018-10-01,371
2018-11-01,64
2018-12-01,13
2019-01-01,34
2019-02-01,18
2019-03-01,12
2019-04-01,6
2019-05-01,6
2019-06-01,3
2019-07-01,0
2019-08-01,0
2019-10-01,0
2020-12-01,0
2021-01-01,0
2021-02-01,0
2021-05-01,0
2021-07-01,0
2021-08-01,0
2021-11-01,0
2022-01-01,13
2022-02-01,6
2022-03-01,1
2022-04-01,134
2022-05-01,154
2022-06-01,154
2022-07-01,143
2022-08-01,175
2022-09-01,143
2022-10-01,153
2022-11-01,94
2022-12-01,6
2023-02-01,12
2023-04-01,178
2023-05-01,237
2023-06-01,234
2023-07-01,219
2023-08-01,235
2023-09-01,137
2023-10-01,190
2023-11-01,99
2023-12-01,1
2024-01-01,18
2024-02-01,31
2024-04-01,5
2024-05-01,8
2024-06-01,8
2024-07-01,5
2024-08-01,6
2024-09-01,12
2024-10-01,5
2024-11-01,3
2024-12-01,7
2025-02-01,14
2025-03-01,2
2025-04-01,1
2025-05-01,4
2025-06-01,10
2025-07-01,13
2025-08-01,7
2025-09-01,7
2025-10-01,14
2025-11-01,1
2025-12-01,44
2026-01-01,67
2026-02-01,46
