Date,Value
1997-01-01,3.0
1997-02-01,3.0
1997-03-01,2.98
1997-04-01,2.23
1997-05-01,2.39
1997-06-01,2.48
1999-01-01,2.42
1999-02-01,2.76
1999-03-01,2.44
1999-04-01,2.24
1999-05-01,1.99
1999-06-01,2.11
1999-07-01,2.22
1999-08-01,2.32
1999-09-01,2.58
1999-10-01,2.51
1999-11-01,2.98
1999-12-01,2.83
2000-01-01,2.85
2000-02-01,3.33
2000-03-01,2.77
2000-04-01,2.9
2000-05-01,3.06
2000-06-01,3.49
2000-07-01,3.51
2000-08-01,3.29
2000-09-01,3.7
2000-10-01,3.96
2000-11-01,3.61
2000-12-01,4.77
2001-01-01,6.72
2001-02-01,5.86
2001-03-01,5.42
2001-04-01,4.72
2001-05-01,4.29
2001-06-01,4.19
2001-07-01,3.87
2001-08-01,3.51
2001-09-01,3.35
2001-10-01,2.24
2001-11-01,2.89
2001-12-01,2.95
2002-01-01,3.7
2002-02-01,2.97
2002-03-01,2.65
2002-04-01,3.07
2002-05-01,3.33
2002-06-01,3.38
2002-07-01,3.33
2002-08-01,3.14
2002-09-01,3.32
2002-10-01,3.39
2002-11-01,3.84
2002-12-01,4.35
2003-01-01,4.69
2003-02-01,4.83
2003-03-01,5.41
2003-04-01,5.4
2003-05-01,4.79
2003-06-01,5.02
2003-07-01,5.27
2003-08-01,4.4
2003-09-01,4.6
2003-10-01,4.31
2003-11-01,4.34
2003-12-01,4.78
2004-01-01,5.71
2004-02-01,5.78
2004-03-01,5.23
2004-04-01,5.25
2004-05-01,5.62
2004-06-01,6.15
2004-07-01,5.71
2004-08-01,5.68
2004-09-01,5.05
2004-10-01,5.42
2004-11-01,6.96
2004-12-01,7.18
2005-01-01,6.29
2005-02-01,6.34
2005-03-01,6.17
2005-04-01,6.91
2005-05-01,6.67
2005-06-01,6.37
2005-07-01,6.88
2005-08-01,7.43
2005-09-01,9.88
2005-10-01,12.17
2005-11-01,12.54
2005-12-01,10.47
2006-01-01,10.57
2006-02-01,8.47
2006-03-01,7.55
2006-04-01,7.16
2006-05-01,7.09
2006-06-01,6.02
2006-07-01,6.12
2006-08-01,7.03
2006-09-01,6.72
2006-10-01,5.4
2006-11-01,7.42
2006-12-01,7.81
2007-01-01,6.38
2007-02-01,7.54
2007-03-01,7.53
2007-04-01,7.22
2007-05-01,7.52
2007-06-01,7.41
2007-07-01,6.92
2007-08-01,6.29
2007-09-01,5.71
2007-10-01,6.84
2007-11-01,7.88
2007-12-01,7.86
2008-01-01,8.42
2008-02-01,9.37
2008-03-01,9.41
2008-04-01,9.85
2008-05-01,11.33
2008-06-01,12.34
2008-07-01,12.99
2008-08-01,10.25
2008-09-01,9.06
2008-10-01,9.16
2008-11-01,8.09
2008-12-01,8.86
2009-01-01,7.63
2009-02-01,6.82
2009-03-01,6.34
2009-04-01,4.2
2009-05-01,3.88
2009-06-01,3.89
2009-07-01,4.21
2009-08-01,3.94
2009-09-01,3.35
2009-10-01,3.95
2009-11-01,4.25
2009-12-01,4.63
2010-01-01,5.78
2010-02-01,5.74
2010-03-01,4.87
2010-04-01,4.25
2010-05-01,4.24
2010-06-01,4.2
2010-07-01,4.8
2010-08-01,4.93
2010-09-01,4.6
2010-10-01,4.78
2010-11-01,5.09
2010-12-01,5.41
2011-01-01,5.56
2011-02-01,4.99
2011-03-01,5.35
2011-04-01,5.42
2011-05-01,4.63
2011-06-01,6.66
2011-07-01,5.5
2011-08-01,6.99
2011-09-01,4.48
2011-10-01,7.41
2011-11-01,4.2
2011-12-01,5.57
2012-01-01,4.25
2012-02-01,4.3
2012-03-01,2.95
2012-04-01,2.96
2012-05-01,4.37
2012-06-01,3.1
2012-07-01,5.15
2012-08-01,4.02
2012-09-01,3.17
2012-10-01,3.18
2012-11-01,7.21
2012-12-01,5.22
2013-01-01,7.86
2013-02-01,4.47
2013-03-01,5.03
2013-04-01,4.9
2013-05-01,4.51
2013-06-01,8.65
2013-07-01,4.59
2013-08-01,7.42
2013-09-01,9.96
2013-10-01,5.79
2013-11-01,4.62
2013-12-01,8.75
2014-01-01,7.13
2014-02-01,10.99
2014-03-01,8.47
2014-04-01,17.34
2014-05-01,5.99
2014-06-01,10.48
2014-07-01,11.8
2014-08-01,6.56
2014-09-01,8.73
2014-10-01,4.63
2014-11-01,
2014-12-01,7.45
2015-01-01,10.9
2015-02-01,9.13
2015-03-01,8.1
2015-04-01,8.31
2015-05-01,6.04
2015-06-01,6.29
2015-07-01,4.53
2015-08-01,3.45
2015-09-01,6.03
2015-10-01,12.38
2015-11-01,4.2
