Date,Value
2014-01-01,24.14
2014-02-01,34.22
2014-03-01,17.17
2014-04-01,8.91
2014-05-01,6.95
2014-06-01,9.03
2014-07-01,6.44
2014-08-01,6.95
2014-09-01,4.76
2014-10-01,1.96
2014-11-01,4.18
2014-12-01,12.43
2015-01-01,8.91
2015-02-01,9.12
2015-03-01,8.55
2015-04-01,2.02
2015-05-01,0.88
2015-06-01,0.79
2015-07-01,0.45
2015-08-01,0.52
2015-09-01,1.14
2015-10-01,1.99
2015-11-01,3.02
2015-12-01,3.78
2016-01-01,5.41
2016-02-01,3.27
2016-03-01,1.54
2016-04-01,1.05
2016-05-01,1.1
2016-06-01,0.63
2016-07-01,1.62
2016-08-01,1.2
2016-09-01,1.22
2016-10-01,0.72
2016-11-01,0.97
2016-12-01,3.24
2017-01-01,10.64
2017-02-01,6.07
2017-03-01,1.91
2017-04-01,1.76
2017-05-01,1.86
2017-06-01,1.64
2017-07-01,1.19
2017-08-01,0.97
2017-09-01,0.82
2017-10-01,1.06
2017-11-01,1.17
2017-12-01,4.31
2018-01-01,10.87
2018-02-01,12.03
2018-03-01,2.03
2018-04-01,2.69
2018-05-01,1.19
2018-06-01,1.01
2018-07-01,1.31
2018-08-01,1.42
2018-09-01,1.48
2018-10-01,2.0
2018-11-01,2.22
2018-12-01,8.23
2019-01-01,8.08
2019-02-01,6.48
2019-03-01,3.48
2019-04-01,1.57
2019-05-01,0.94
2019-06-01,0.85
2019-07-01,0.68
2019-08-01,0.61
2019-09-01,0.36
2019-10-01,2.48
2019-11-01,4.52
2019-12-01,5.8
2020-01-01,7.16
2020-02-01,3.99
2020-03-01,2.92
2020-04-01,2.27
2020-05-01,2.37
2020-06-01,2.13
2020-07-01,2.24
2020-08-01,2.39
2020-09-01,2.26
2020-10-01,2.27
2020-11-01,3.86
2020-12-01,3.86
2021-01-01,5.41
2021-02-01,5.83
2021-03-01,4.59
2021-04-01,3.09
2021-05-01,3.06
2021-06-01,3.21
2021-07-01,3.98
2021-08-01,4.21
2021-09-01,4.52
2021-10-01,6.19
2021-11-01,8.67
2021-12-01,12.7
2022-01-01,18.99
2022-02-01,20.66
2022-03-01,9.81
2022-04-01,6.07
2022-05-01,7.53
2022-06-01,9.1
2022-07-01,7.27
2022-08-01,9.49
2022-09-01,9.31
2022-10-01,6.22
2022-11-01,7.13
2022-12-01,23.74
2023-01-01,24.08
2023-02-01,12.97
2023-03-01,6.02
2023-04-01,3.2
2023-05-01,2.7
2023-06-01,3.14
2023-07-01,2.28
2023-08-01,2.02
2023-09-01,1.79
2023-10-01,2.12
2023-11-01,2.91
2023-12-01,3.85
2024-01-01,4.87
2024-02-01,4.45
2024-03-01,2.35
2024-04-01,2.1
2024-05-01,2.11
2024-06-01,2.3
2024-07-01,2.68
2024-08-01,2.19
2024-09-01,2.16
2024-10-01,2.38
2024-11-01,2.66
2024-12-01,4.65
2025-01-01,6.57
2025-02-01,5.53
2025-03-01,4.58
2025-04-01,4.04
2025-05-01,3.26
2025-06-01,3.01
2025-07-01,2.94
2025-08-01,3.28
2025-09-01,2.68
2025-10-01,2.52
2025-11-01,3.54
2025-12-01,6.72
2026-01-01,8.26
2026-02-01,14.79
