Date,Value
2018-12-01,9.9
2019-01-01,
2019-11-01,
2019-12-01,
2020-01-01,
2022-04-01,22.83
2022-05-01,6.91
2022-06-01,12.61
2022-09-01,6.93
2022-10-01,7.74
2022-11-01,7.76
2023-04-01,8.01
2023-06-01,8.08
2023-07-01,8.4
2023-08-01,7.59
2023-09-01,7.62
2023-10-01,8.0
2023-11-01,8.05
2023-12-01,8.11
2024-02-01,10.11
2024-03-01,8.16
2024-04-01,7.01
2024-05-01,6.88
2024-06-01,6.76
2024-07-01,6.77
2024-08-01,6.79
2024-09-01,6.77
2024-10-01,7.22
2024-11-01,6.97
2024-12-01,7.47
2025-01-01,7.32
2025-04-01,6.61
2025-05-01,6.71
2025-06-01,6.61
2025-08-01,21.01
2025-10-01,7.47
2025-11-01,8.58
