Date,Value
2020-03-01,
2020-04-01,
2020-05-01,
2020-08-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-12-01,
2022-01-01,7.94
2022-03-01,7.83
2022-07-01,10.41
2022-08-01,13.94
2022-10-01,
2022-12-01,8.89
2023-01-01,6.96
2023-02-01,
2023-04-01,4.84
2023-07-01,
2023-08-01,
2023-09-01,5.84
2023-10-01,5.69
2024-02-01,4.89
2024-04-01,4.83
2024-06-01,5.45
2024-07-01,5.52
2024-08-01,5.06
2024-11-01,4.73
2024-12-01,5.54
2025-01-01,7.84
2025-02-01,7.11
2025-03-01,
2025-04-01,
2025-05-01,6.76
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2026-02-01,
