Date,Value
2020-04-01,
2020-06-01,
2020-11-01,
2021-08-01,
2022-03-01,
2022-04-01,9.44
2022-06-01,13.36
2022-08-01,
2022-09-01,
2022-12-01,8.89
2023-02-01,6.87
2023-03-01,5.88
2023-04-01,5.59
2023-07-01,6.06
2023-08-01,
2023-12-01,5.49
2024-01-01,6.39
2024-04-01,5.2
2024-06-01,5.49
2024-07-01,5.52
2024-09-01,5.6
2024-12-01,7.31
2025-01-01,
2025-02-01,7.22
2025-03-01,7.5
2025-04-01,7.2
2025-05-01,6.76
2025-06-01,7.1
2025-08-01,6.55
2025-10-01,
2025-11-01,7.16
2025-12-01,
2026-01-01,8.53
2026-02-01,11.66
