Date,Value
2018-03-01,5.48
2018-04-01,7.15
2018-05-01,7.18
2018-06-01,7.45
2018-07-01,7.54
2018-08-01,7.64
2018-09-01,7.38
2018-10-01,7.42
2018-11-01,7.62
2018-12-01,8.93
2019-01-01,
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
2021-01-01,
2021-02-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-06-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-01-01,8.65
2022-02-01,10.12
2022-03-01,8.9
2022-04-01,9.69
2022-05-01,11.27
2022-06-01,12.81
2022-07-01,11.72
2022-08-01,12.84
2022-09-01,14.14
2022-11-01,10.49
2022-12-01,11.41
2023-01-01,9.01
2023-02-01,8.68
2023-03-01,7.23
2023-04-01,6.66
2023-05-01,6.57
2023-06-01,6.74
2023-07-01,6.42
2023-08-01,6.9
2023-09-01,7.07
2023-10-01,6.99
2023-11-01,7.38
2023-12-01,7.01
2024-01-01,7.1
2024-02-01,6.95
2024-03-01,6.24
2024-04-01,6.16
2024-05-01,6.28
2024-06-01,6.48
2024-07-01,7.01
2024-08-01,6.52
2024-09-01,6.39
2024-10-01,6.86
2024-11-01,6.75
2024-12-01,7.72
2025-01-01,7.85
2025-02-01,7.89
2025-03-01,8.04
2025-04-01,8.17
2025-05-01,7.48
2025-06-01,7.4
2025-07-01,7.36
2025-08-01,7.35
2025-09-01,7.21
2025-10-01,6.89
2025-11-01,7.55
2025-12-01,8.27
2026-01-01,8.63
2026-02-01,11.42
