Date,Value
2011-11-01,13.91
2016-05-01,4.72
2016-06-01,4.69
2016-07-01,5.82
2016-08-01,5.53
2016-11-01,5.64
2017-02-01,7.18
2017-03-01,6.26
2017-04-01,6.65
2017-06-01,6.46
2017-07-01,3.67
2017-10-01,3.56
2017-12-01,3.68
2018-01-01,3.27
2018-02-01,4.34
2018-03-01,3.15
2018-04-01,4.76
2018-06-01,3.44
2018-07-01,6.56
2018-09-01,3.46
2018-11-01,3.61
2018-12-01,5.63
2019-02-01,
2019-03-01,
2019-04-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-09-01,
2019-10-01,
2019-11-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-03-01,
2020-04-01,
2020-05-01,
2020-09-01,
2020-10-01,
2020-12-01,
2021-01-01,
2021-03-01,
2021-04-01,
2021-05-01,
2021-07-01,
2021-08-01,
2021-09-01,
2021-10-01,
2021-11-01,
2021-12-01,
2022-04-01,8.37
2022-05-01,10.17
2023-06-01,5.27
2023-07-01,5.15
2023-08-01,6.1
2024-01-01,5.85
2024-03-01,5.05
2024-04-01,4.6
2024-05-01,4.64
2024-06-01,5.68
2024-07-01,5.86
2024-11-01,5.53
2024-12-01,6.82
2025-04-01,
2025-06-01,
2025-12-01,
