Date,Value
2016-11-01,6.32
2017-06-01,4.38
2017-08-01,3.55
2018-09-01,4.99
2018-10-01,6.72
2018-12-01,7.79
2019-01-01,
2019-02-01,
2019-03-01,
2019-05-01,
2019-06-01,
2019-07-01,
2019-08-01,
2019-09-01,
2019-12-01,
2020-01-01,
2020-02-01,
2020-05-01,
2020-06-01,
2020-08-01,
2021-03-01,
2021-05-01,
2021-07-01,
2022-01-01,7.96
2022-02-01,10.11
2022-03-01,8.61
2022-04-01,9.53
2022-05-01,11.21
2022-06-01,13.8
2022-07-01,10.98
2022-08-01,13.54
2022-12-01,11.17
2023-01-01,8.81
2023-02-01,6.42
2023-03-01,5.95
2023-04-01,5.08
2023-05-01,5.43
2023-06-01,4.65
2023-07-01,5.81
2023-08-01,5.68
2023-09-01,5.64
2023-11-01,6.71
2023-12-01,6.14
2024-01-01,6.0
2024-02-01,6.18
2024-03-01,4.9
2024-04-01,4.64
2024-05-01,4.87
2024-06-01,5.97
2024-07-01,6.36
2024-08-01,4.63
2024-09-01,4.99
2024-10-01,5.38
2024-11-01,5.85
2024-12-01,7.3
2025-01-01,
2025-02-01,
2025-03-01,
2025-04-01,
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
2025-11-01,
2025-12-01,
2026-01-01,
2026-02-01,
