Date,Value
2012-12-01,13.29
2013-01-01,13.09
2013-02-01,16.14
2013-03-01,13.87
2013-04-01,14.55
2013-05-01,14.55
2013-06-01,14.6
2013-07-01,15.01
2013-08-01,14.01
2013-09-01,13.94
2013-10-01,13.91
2013-11-01,14.22
2013-12-01,14.25
2014-01-01,15.01
2014-02-01,15.61
2014-03-01,15.61
2014-04-01,14.97
2014-05-01,15.1
2014-06-01,14.88
2014-07-01,14.94
2014-08-01,14.34
2014-09-01,14.48
2014-10-01,14.42
2014-11-01,14.07
2014-12-01,14.93
2015-01-01,13.77
2015-02-01,13.3
2015-03-01,13.27
2015-05-01,12.89
2015-06-01,13.25
2015-07-01,14.56
