Date,Value
2019-03-01,1.59
2019-04-01,1.91
2019-05-01,1.65
2019-06-01,0.74
2019-07-01,1.23
2019-08-01,0.93
2019-09-01,1.08
2019-11-01,2.17
2019-12-01,1.77
2020-01-01,2.0
2020-02-01,0.95
2020-03-01,0.64
2020-04-01,0.52
2020-05-01,0.79
2020-06-01,0.91
2020-07-01,0.91
2020-08-01,1.12
2020-09-01,1.54
2020-10-01,1.43
2020-11-01,2.09
2020-12-01,1.9
2021-01-01,3.08
2021-02-01,4.37
2021-03-01,3.19
2021-04-01,3.13
2021-05-01,3.53
2021-06-01,3.79
2021-07-01,3.94
2021-08-01,3.64
2021-09-01,4.39
2021-10-01,5.65
2021-11-01,4.76
2021-12-01,4.93
2022-01-01,5.4
2022-02-01,6.03
2022-03-01,10.28
2022-04-01,11.69
2022-05-01,5.94
2022-06-01,6.54
2022-07-01,6.25
2022-08-01,3.87
2022-09-01,3.08
2022-10-01,2.33
2022-11-01,4.29
2022-12-01,4.31
2023-01-01,2.68
2023-02-01,2.01
2023-03-01,2.21
2023-04-01,1.9
2023-05-01,1.92
2023-06-01,1.5
2023-07-01,1.65
2023-08-01,1.86
2023-09-01,1.69
2023-10-01,1.53
2023-11-01,2.22
2023-12-01,1.72
2024-01-01,3.17
2024-02-01,1.66
2024-03-01,1.64
2024-04-01,1.33
2024-05-01,1.28
2024-06-01,0.95
2024-07-01,1.05
2024-08-01,0.81
2024-09-01,0.09
2024-10-01,0.56
2024-11-01,0.74
2024-12-01,1.69
2025-01-01,0.11
2025-02-01,0.81
2025-03-01,0.42
2025-04-01,1.39
2025-05-01,1.06
2025-06-01,0.45
2025-07-01,0.46
2025-08-01,0.45
2025-09-01,0.63
2025-10-01,0.53
2025-11-01,1.63
2025-12-01,2.19
2026-01-01,2.39
2026-02-01,1.53
