Date,Value
2011-01-01,4302792
2011-02-01,4302341
2011-03-01,4302108
2011-04-01,4303570
2011-05-01,4304364
2011-06-01,4301779
2011-07-01,4300139
2011-08-01,4300269
2011-09-01,4301291
2011-10-01,4301737
2011-11-01,4299727
2011-12-01,4301752
2012-01-01,4309129
2012-02-01,4309505
2012-03-01,4321454
2012-04-01,4325195
2012-05-01,4332383
2012-06-01,4338100
2012-07-01,4342905
2012-08-01,4347859
2012-09-01,4351797
2012-10-01,4365049
2012-11-01,4372359
2012-12-01,4372412
2013-01-01,4369851
2013-02-01,4369819
2013-03-01,4368153
2013-04-01,4367022
2013-05-01,4370881
2013-06-01,4370400
2013-07-01,4351118
2013-08-01,4348089
2013-09-01,4348899
2013-10-01,4350204
2013-11-01,4351385
2013-12-01,4350938
2014-01-01,4349242
2014-02-01,4346029
2014-03-01,4335791
2014-04-01,4342460
2014-05-01,4338695
2014-06-01,4343951
2014-07-01,4347083
2014-08-01,4352094
2014-09-01,4354893
2014-10-01,4353121
2014-11-01,4353272
2014-12-01,4350593
2015-01-01,4354264
2015-02-01,4354194
2015-03-01,4355166
2015-04-01,4354944
2015-05-01,4356812
2015-06-01,4361078
2015-07-01,4366087
2015-08-01,4358198
2015-09-01,4359012
2015-10-01,4359550
2015-11-01,4362157
2015-12-01,4357343
2016-01-01,4354959
2016-02-01,4355122
2016-03-01,4346241
2016-04-01,4349692
2016-05-01,4352012
2016-06-01,4354440
2016-07-01,4354652
2016-08-01,4355261
2016-09-01,4354547
2016-10-01,4357167
2016-11-01,4358275
2016-12-01,4365539
2017-01-01,4363705
2017-02-01,4363112
2017-03-01,4363591
2017-04-01,4364718
2017-05-01,4370540
2017-06-01,4339697
2017-07-01,4341544
2017-08-01,4341104
2017-09-01,4341286
2017-10-01,4339544
2017-11-01,4338889
2017-12-01,4345593
2018-01-01,4342767
2018-02-01,4342898
2018-03-01,4338897
2018-04-01,4336261
2018-05-01,4337494
2018-06-01,4339641
2018-07-01,4340039
2018-08-01,4340808
2018-09-01,4341574
2018-10-01,4342420
2018-11-01,4342115
2018-12-01,4346334
2019-01-01,4351915
2019-02-01,4351690
2019-03-01,4346375
2019-04-01,4353252
2019-05-01,4357772
2019-06-01,4360531
2019-07-01,4360176
2019-08-01,4362438
2019-09-01,4363877
2019-10-01,4364541
2019-11-01,4365785
2019-12-01,4365432
2020-01-01,4366204
2020-02-01,4364995
2020-03-01,4365115
2020-04-01,4369760
2020-05-01,4372452
2020-06-01,4375226
2020-07-01,4376066
2020-08-01,4375504
2020-09-01,4374735
2020-10-01,4378653
2020-11-01,4379644
2020-12-01,4380263
2021-01-01,4380191
2021-02-01,4374499
2021-03-01,4373463
2021-04-01,4365226
2021-05-01,4367173
2021-06-01,4419743
2021-07-01,4419797
2021-08-01,4420652
2021-09-01,4422562
2021-10-01,4423629
2021-11-01,4424508
2021-12-01,4423679
2022-01-01,4423160
2022-02-01,4420293
2022-03-01,4419805
2022-04-01,4425560
2022-05-01,4427413
2022-06-01,4428419
2022-07-01,4430198
2022-08-01,4431575
2022-09-01,4430649
2022-10-01,4428911
2022-11-01,4428242
2022-12-01,4436454
2023-01-01,4437328
2023-02-01,4436493
2023-03-01,4435637
2023-04-01,4437978
2023-05-01,4451441
2023-06-01,4449537
2023-07-01,4450718
2023-08-01,4450348
2023-09-01,4449266
2023-10-01,4451455
2023-11-01,4449441
2023-12-01,4453343
2024-01-01,4452792
2024-02-01,4452965
2024-03-01,4452020
2024-04-01,4452247
2024-05-01,4454551
2024-06-01,4456330
2024-07-01,4457652
2024-08-01,4462467
2024-09-01,4467934
2024-10-01,4468887
2024-11-01,4470505
2024-12-01,4470598
2025-01-01,4475555
2025-02-01,4474157
2025-03-01,4476312
2025-04-01,4475299
2025-05-01,4475289
2025-06-01,4476482
2025-07-01,4475660
2025-08-01,4487171
2025-09-01,4486358
2025-10-01,4487372
2025-11-01,4485881
2025-12-01,4485096
2026-01-01,4483946
2026-02-01,4481455
