Date,Value
2011-01-01,0.1
2011-02-01,2.3
2011-03-01,-4.6
2011-04-01,-11.1
2011-05-01,-9.6
2011-06-01,-7.7
2011-07-01,-6.4
2011-08-01,-4.2
2011-09-01,-2.6
2011-10-01,-1.2
2011-11-01,2.0
2011-12-01,11.3
2012-01-01,36.5
2012-02-01,53.4
2012-03-01,73.5
2012-04-01,61.5
2012-05-01,46.1
2012-06-01,34.6
2012-07-01,25.3
2012-08-01,19.5
2012-09-01,15.0
2012-10-01,11.5
2012-11-01,7.7
2012-12-01,8.2
2013-01-01,-7.6
2013-02-01,-14.8
2013-03-01,-31.0
2013-04-01,-29.5
2013-05-01,-21.9
2013-06-01,-15.7
2013-07-01,-10.0
2013-08-01,-6.2
2013-09-01,-4.0
2013-10-01,-3.4
2013-11-01,-5.7
2013-12-01,-15.9
2014-01-01,-29.2
2014-02-01,-43.4
2014-03-01,-51.0
2014-04-01,-43.2
2014-05-01,-32.3
2014-06-01,-24.5
2014-07-01,-18.6
2014-08-01,-14.0
2014-09-01,-10.7
2014-10-01,-6.1
2014-11-01,-5.1
2014-12-01,8.6
2015-01-01,25.1
2015-02-01,39.0
2015-03-01,72.9
2015-04-01,69.1
2015-05-01,48.2
2015-06-01,32.2
2015-07-01,22.0
2015-08-01,17.2
2015-09-01,13.5
2015-10-01,9.9
2015-11-01,14.7
2015-12-01,16.9
2016-01-01,22.3
2016-02-01,52.9
2016-03-01,70.1
2016-04-01,48.1
2016-05-01,29.8
2016-06-01,20.4
2016-07-01,13.3
2016-08-01,5.9
2016-09-01,2.2
2016-10-01,1.5
2016-11-01,1.0
2016-12-01,-10.4
2017-01-01,-11.1
2017-02-01,-8.0
2017-03-01,-17.3
2017-04-01,-13.6
2017-05-01,-11.6
2017-06-01,-8.9
2017-07-01,-8.1
2017-08-01,-5.7
2017-09-01,-3.8
2017-10-01,-5.0
2017-11-01,-6.9
2017-12-01,-8.2
2018-01-01,-18.7
2018-02-01,-28.9
2018-03-01,-33.2
2018-04-01,-38.3
2018-05-01,-30.1
2018-06-01,-24.8
2018-07-01,-22.3
2018-08-01,-19.7
2018-09-01,-17.5
2018-10-01,-15.4
2018-11-01,-18.5
2018-12-01,-10.9
2019-01-01,-7.0
2019-02-01,-15.0
2019-03-01,-15.1
2019-04-01,9.5
2019-05-01,10.1
2019-06-01,12.3
2019-07-01,14.2
2019-08-01,14.8
2019-09-01,16.0
2019-10-01,16.5
2019-11-01,19.5
2019-12-01,18.1
2020-01-01,32.0
2020-02-01,47.3
2020-03-01,73.7
2020-04-01,51.0
2020-05-01,37.7
2020-06-01,28.0
2020-07-01,21.9
2020-08-01,17.9
2020-09-01,12.7
2020-10-01,4.6
2020-11-01,9.1
2020-12-01,5.0
2021-01-01,0.8
2021-02-01,-10.7
2021-03-01,-11.4
2021-04-01,-15.5
2021-05-01,-14.1
2021-06-01,-17.7
2021-07-01,-16.5
2021-08-01,-17.3
2021-09-01,-14.0
2021-10-01,-6.7
2021-11-01,-10.2
2021-12-01,-3.9
2022-01-01,-15.9
2022-02-01,-16.0
2022-03-01,-22.3
2022-04-01,-18.5
2022-05-01,-16.3
2022-06-01,-10.1
2022-07-01,-9.1
2022-08-01,-7.2
2022-09-01,-4.9
2022-10-01,-2.7
2022-11-01,-1.0
2022-12-01,-9.1
2023-01-01,11.3
2023-02-01,32.7
2023-03-01,32.0
2023-04-01,31.3
2023-05-01,27.7
2023-06-01,24.8
2023-07-01,21.2
2023-08-01,17.0
2023-09-01,11.0
2023-10-01,6.7
2023-11-01,6.9
2023-12-01,18.3
2024-01-01,5.9
2024-02-01,13.7
2024-03-01,25.2
2024-04-01,21.5
2024-05-01,14.6
2024-06-01,9.6
2024-07-01,8.7
2024-08-01,6.5
2024-09-01,3.7
2024-10-01,3.5
2024-11-01,4.8
2024-12-01,-0.5
2025-01-01,-7.3
2025-02-01,-24.2
2025-03-01,-20.7
2025-04-01,-16.7
2025-05-01,-10.0
2025-06-01,-6.0
2025-07-01,-4.7
2025-08-01,-1.7
2025-09-01,0.2
2025-10-01,-0.4
2025-11-01,-0.6
2025-12-01,-4.1
2026-01-01,-1.1
2026-02-01,6.9
