Date,Value
2013-01-01,
2013-02-01,
2013-03-01,
2013-04-01,
2013-05-01,
2013-06-01,
2013-07-01,
2013-08-01,
2013-09-01,
2013-10-01,
2013-11-01,
2013-12-01,
2014-01-01,123.8
2014-02-01,41.4
2014-03-01,49.7
2014-04-01,42.7
2014-05-01,35.5
2014-06-01,37.5
2014-07-01,31.7
2014-08-01,25.2
2014-09-01,16.5
2014-10-01,7.1
2014-11-01,14.3
2014-12-01,26.1
2015-01-01,23.8
2015-02-01,25.2
2015-03-01,18.6
2015-04-01,18.4
2015-05-01,17.3
2015-06-01,9.5
2015-07-01,9.0
2015-08-01,5.9
2015-09-01,3.0
2015-10-01,3.7
2015-11-01,0.8
2015-12-01,-2.7
2016-01-01,-2.1
2016-02-01,0.7
2016-03-01,3.5
2016-04-01,10.2
2016-05-01,18.0
2016-06-01,23.6
2016-07-01,30.8
2016-08-01,38.3
2016-09-01,44.9
2016-10-01,43.4
2016-11-01,40.6
2016-12-01,34.1
2017-01-01,25.1
2017-02-01,16.9
2017-03-01,8.6
2017-04-01,6.8
2017-05-01,4.8
2017-06-01,6.7
2017-07-01,7.7
2017-08-01,8.6
2017-09-01,8.7
2017-10-01,10.9
2017-11-01,9.0
2017-12-01,11.0
2018-01-01,10.7
2018-02-01,9.2
2018-03-01,11.7
2018-04-01,7.4
2018-05-01,4.8
2018-06-01,3.4
2018-07-01,1.5
2018-08-01,-0.4
2018-09-01,-0.6
2018-10-01,0.1
2018-11-01,3.0
2018-12-01,2.5
2019-01-01,1.1
2019-02-01,-1.3
2019-03-01,-2.2
2019-04-01,-1.6
2019-05-01,-0.4
2019-06-01,-1.1
2019-07-01,-2.0
2019-08-01,-3.2
2019-09-01,-4.9
2019-10-01,-7.2
2019-11-01,-9.2
2019-12-01,-12.0
2020-01-01,-17.2
2020-02-01,-17.7
2020-03-01,-21.9
2020-04-01,-23.7
2020-05-01,-23.3
2020-06-01,-22.8
2020-07-01,-21.1
2020-08-01,-17.5
2020-09-01,-14.6
2020-10-01,-13.6
2020-11-01,-14.7
2020-12-01,-13.3
2021-01-01,-5.1
2021-02-01,-3.7
2021-03-01,-0.6
2021-04-01,1.3
2021-05-01,3.3
2021-06-01,5.5
2021-07-01,4.3
2021-08-01,0.2
2021-09-01,-2.7
2021-10-01,-3.2
2021-11-01,-6.2
2021-12-01,-10.2
2022-01-01,-14.5
2022-02-01,-13.5
2022-03-01,-11.3
2022-04-01,-10.4
2022-05-01,-9.1
2022-06-01,-6.1
2022-07-01,-3.0
2022-08-01,0.9
2022-09-01,5.7
2022-10-01,7.1
2022-11-01,11.9
2022-12-01,16.1
2023-01-01,25.6
2023-02-01,28.4
2023-03-01,29.4
2023-04-01,29.0
2023-05-01,24.2
2023-06-01,19.1
2023-07-01,16.2
2023-08-01,13.0
2023-09-01,8.2
2023-10-01,5.7
2023-11-01,3.9
2023-12-01,1.5
2024-01-01,-5.6
2024-02-01,-8.2
2024-03-01,-9.5
2024-04-01,-9.8
2024-05-01,-8.6
2024-06-01,-7.7
2024-07-01,-7.0
2024-08-01,-7.0
2024-09-01,-6.3
2024-10-01,-6.3
2024-11-01,-7.4
2024-12-01,-5.2
2025-01-01,-2.1
2025-02-01,-2.3
2025-03-01,1.4
2025-04-01,3.5
2025-05-01,4.1
2025-06-01,3.3
2025-07-01,4.2
2025-08-01,7.0
2025-09-01,9.6
2025-10-01,14.2
2025-11-01,19.2
2025-12-01,17.4
2026-01-01,17.0
2026-02-01,19.9
