Date,Value
2013-01-01,8956
2013-02-01,13913
2013-03-01,13743
2013-04-01,14328
2013-05-01,15277
2013-06-01,16187
2013-07-01,17087
2013-08-01,18569
2013-09-01,20455
2013-10-01,22149
2013-11-01,21244
2013-12-01,19819
2014-01-01,20043
2014-02-01,19668
2014-03-01,20566
2014-04-01,20447
2014-05-01,20705
2014-06-01,22252
2014-07-01,22508
2014-08-01,23254
2014-09-01,23820
2014-10-01,23714
2014-11-01,24272
2014-12-01,24997
2015-01-01,24811
2015-02-01,24626
2015-03-01,24391
2015-04-01,24208
2015-05-01,24279
2015-06-01,24357
2015-07-01,24528
2015-08-01,24635
2015-09-01,24543
2015-10-01,24595
2015-11-01,24461
2015-12-01,24319
2016-01-01,24295
2016-02-01,24790
2016-03-01,25241
2016-04-01,26682
2016-05-01,28639
2016-06-01,30108
2016-07-01,32084
2016-08-01,34081
2016-09-01,35559
2016-10-01,35263
2016-11-01,34392
2016-12-01,32602
2017-01-01,30389
2017-02-01,28981
2017-03-01,27409
2017-04-01,28485
2017-05-01,30010
2017-06-01,32118
2017-07-01,34541
2017-08-01,37018
2017-09-01,38642
2017-10-01,39118
2017-11-01,37497
2017-12-01,36188
2018-01-01,33629
2018-02-01,31641
2018-03-01,30621
2018-04-01,30597
2018-05-01,31453
2018-06-01,33203
2018-07-01,35065
2018-08-01,36859
2018-09-01,38396
2018-10-01,39138
2018-11-01,38629
2018-12-01,37077
2019-01-01,33990
2019-02-01,31233
2019-03-01,29957
2019-04-01,30101
2019-05-01,31320
2019-06-01,32845
2019-07-01,34353
2019-08-01,35673
2019-09-01,36516
2019-10-01,36339
2019-11-01,35067
2019-12-01,32628
2020-01-01,28131
2020-02-01,25716
2020-03-01,23403
2020-04-01,22982
2020-05-01,24031
2020-06-01,25356
2020-07-01,27109
2020-08-01,29440
2020-09-01,31173
2020-10-01,31393
2020-11-01,29899
2020-12-01,28299
2021-01-01,26688
2021-02-01,24759
2021-03-01,23267
2021-04-01,23270
2021-05-01,24820
2021-06-01,26743
2021-07-01,28266
2021-08-01,29499
2021-09-01,30337
2021-10-01,30388
2021-11-01,28040
2021-12-01,25426
2022-01-01,22816
2022-02-01,21409
2022-03-01,20631
2022-04-01,20853
2022-05-01,22553
2022-06-01,25105
2022-07-01,27427
2022-08-01,29755
2022-09-01,32075
2022-10-01,32548
2022-11-01,31377
2022-12-01,29511
2023-01-01,28653
2023-02-01,27493
2023-03-01,26700
2023-04-01,26898
2023-05-01,28015
2023-06-01,29891
2023-07-01,31865
2023-08-01,33623
2023-09-01,34710
2023-10-01,34393
2023-11-01,32591
2023-12-01,29943
2024-01-01,27061
2024-02-01,25251
2024-03-01,24176
2024-04-01,24258
2024-05-01,25596
2024-06-01,27577
2024-07-01,29623
2024-08-01,31255
2024-09-01,32508
2024-10-01,32238
2024-11-01,30196
2024-12-01,28391
2025-01-01,26480
2025-02-01,24677
2025-03-01,24513
2025-04-01,25098
2025-05-01,26648
2025-06-01,28493
2025-07-01,30864
2025-08-01,33439
2025-09-01,35637
2025-10-01,36820
2025-11-01,35992
2025-12-01,33342
2026-01-01,30974
2026-02-01,29593
