Date,Value
1979-01-01,45
1980-01-01,48
1981-01-01,68
1982-01-01,52
1983-01-01,73
1984-01-01,81
1985-01-01,76
1986-01-01,69
1987-01-01,70
1988-01-01,67
1989-01-01,56
1990-01-01,63
1991-01-01,61
1992-01-01,66
1993-01-01,72
1994-01-01,74
1995-01-01,82
1996-01-01,85
1997-01-01,75
1998-01-01,75
1999-01-01,64
2000-01-01,59
2001-01-01,53
2002-01-01,60
2003-01-01,56
2004-01-01,64
2005-01-01,72
2006-01-01,74
2007-01-01,94
2008-01-01,88
2009-01-01,77
2010-01-01,113
2011-01-01,203
2012-01-01,374
2013-01-01,698
2014-01-01,1037
2015-01-01,940
2016-01-01,1050
2017-01-01,1296
2018-01-01,1164
2019-01-01,871
2020-01-01,840
2021-01-01,1258
