Date,Value
1979-01-01,400
1980-01-01,387
1981-01-01,407
1982-01-01,300
1983-01-01,441
1984-01-01,422
1985-01-01,370
1986-01-01,437
1987-01-01,459
1988-01-01,342
1989-01-01,327
1990-01-01,311
1991-01-01,426
1992-01-01,442
1993-01-01,378
1994-01-01,396
1995-01-01,367
1996-01-01,336
1997-01-01,263
1998-01-01,331
1999-01-01,355
2000-01-01,303
2001-01-01,300
2002-01-01,261
2003-01-01,245
2004-01-01,267
2005-01-01,218
2006-01-01,204
2007-01-01,194
2008-01-01,175
2009-01-01,162
2010-01-01,195
2011-01-01,192
2012-01-01,174
2013-01-01,138
2014-01-01,186
2015-01-01,122
2016-01-01,165
2017-01-01,183
2018-01-01,180
2019-01-01,142
2020-01-01,130
2021-01-01,154
