Date,Value
1981-01-01,52
1986-01-01,38
1987-01-01,40
1988-01-01,40
1989-01-01,39
1990-01-01,45
1991-01-01,44
1992-01-01,49
1993-01-01,42
1994-01-01,43
1995-01-01,68
1996-01-01,65
1997-01-01,41
1998-01-01,37
1999-01-01,45
2000-01-01,41
2001-01-01,35
2002-01-01,35
2003-01-01,33
2004-01-01,31
2005-01-01,29
2006-01-01,28
2007-01-01,30
2008-01-01,27
2009-01-01,26
2010-01-01,25
2011-01-01,23
2012-01-01,24
2013-01-01,29
2014-01-01,26
2015-01-01,29
2016-01-01,31
2017-01-01,23
2018-01-01,20
2019-01-01,37
2020-01-01,18
2021-01-01,19
