Date,Value
1979-01-01,59
1980-01-01,62
1981-01-01,65
1982-01-01,67
1983-01-01,70
1984-01-01,75
1985-01-01,77
1986-01-01,76
1987-01-01,76
1988-01-01,79
1989-01-01,73
1990-01-01,75
1991-01-01,76
1992-01-01,77
1993-01-01,77
1994-01-01,76
1995-01-01,70
1996-01-01,74
1997-01-01,71
1998-01-01,69
1999-01-01,70
2000-01-01,69
2001-01-01,66
2002-01-01,61
2003-01-01,59
2004-01-01,64
2005-01-01,65
2006-01-01,67
2007-01-01,69
2008-01-01,74
2009-01-01,77
2010-01-01,82
2011-01-01,88
2012-01-01,96
2013-01-01,99
2014-01-01,117
2015-01-01,118
2016-01-01,123
2017-01-01,138
2018-01-01,175
2019-01-01,201
2020-01-01,181
2021-01-01,180
