Date,Value
1979-01-01,6
1980-01-01,6
1981-01-01,6
1982-01-01,5
1983-01-01,5
1984-01-01,6
1985-01-01,7
1986-01-01,6
1987-01-01,6
1988-01-01,7
1989-01-01,7
1990-01-01,7
1991-01-01,7
1992-01-01,7
1993-01-01,7
1994-01-01,6
1995-01-01,4
1996-01-01,4
1997-01-01,4
1998-01-01,4
1999-01-01,4
2000-01-01,6
2001-01-01,6
2002-01-01,6
2003-01-01,4
2004-01-01,4
2005-01-01,4
2006-01-01,5
2007-01-01,5
2008-01-01,5
2009-01-01,5
2010-01-01,5
2011-01-01,5
2012-01-01,8
2013-01-01,10
2014-01-01,41
2015-01-01,57
2016-01-01,69
2017-01-01,93
2018-01-01,111
2019-01-01,132
2020-01-01,151
2021-01-01,156
