Date,Value
1981-01-01,57
1982-01-01,54
1983-01-01,47
1984-01-01,52
1985-01-01,46
1986-01-01,64
1987-01-01,60
1988-01-01,63
1989-01-01,57
1990-01-01,61
1991-01-01,53
1992-01-01,84
1993-01-01,81
1994-01-01,78
1995-01-01,107
1996-01-01,105
1997-01-01,94
1998-01-01,122
1999-01-01,137
2000-01-01,127
2001-01-01,157
2002-01-01,154
2003-01-01,102
2004-01-01,85
2005-01-01,76
2006-01-01,65
2007-01-01,88
2008-01-01,76
2009-01-01,92
2010-01-01,83
2011-01-01,64
2012-01-01,51
2013-01-01,51
2014-01-01,65
2015-01-01,66
2016-01-01,6
2017-01-01,4
2018-01-01,9
2019-01-01,6
2020-01-01,4
2021-01-01,7
