Date,Value
1979-01-01,182
1980-01-01,193
1981-01-01,167
1982-01-01,158
1983-01-01,166
1984-01-01,152
1985-01-01,143
1986-01-01,139
1987-01-01,132
1988-01-01,130
1989-01-01,130
1990-01-01,122
1991-01-01,110
1992-01-01,118
1993-01-01,103
1994-01-01,91
1995-01-01,72
1996-01-01,67
1997-01-01,59
1998-01-01,50
1999-01-01,50
2000-01-01,46
2001-01-01,32
2002-01-01,29
2003-01-01,27
2004-01-01,21
2005-01-01,30
2006-01-01,15
2007-01-01,21
2008-01-01,14
2009-01-01,16
2010-01-01,18
2011-01-01,19
2012-01-01,18
2013-01-01,14
2014-01-01,13
2015-01-01,15
2016-01-01,14
2017-01-01,11
2018-01-01,12
2019-01-01,9
2020-01-01,5
2021-01-01,6
