Date,Value
1994-01-01,2.347
1994-02-01,2.355
1994-03-01,2.109
1994-04-01,2.111
1994-05-01,1.941
1994-06-01,2.08
1994-07-01,1.963
1994-08-01,1.693
1994-09-01,1.619
1994-10-01,1.721
1994-11-01,1.771
1994-12-01,1.7
1995-01-01,1.426
1995-02-01,1.439
1995-03-01,1.534
1995-04-01,1.66
1995-05-01,1.707
1995-06-01,1.634
1995-07-01,1.494
1995-08-01,1.557
1995-09-01,1.674
1995-10-01,1.79
1995-11-01,1.961
1995-12-01,2.459
1996-01-01,2.483
1996-02-01,2.458
1996-03-01,2.353
1996-04-01,2.309
1996-05-01,2.283
1996-06-01,2.544
1996-07-01,2.521
1996-08-01,2.049
1996-09-01,1.933
1996-10-01,2.481
1996-11-01,3.023
1996-12-01,3.645
1997-01-01,3.067
1997-02-01,2.065
1997-03-01,1.899
1997-04-01,2.005
1997-05-01,2.253
1997-06-01,2.161
1997-07-01,2.134
1997-08-01,2.462
1997-09-01,2.873
1997-10-01,3.243
1997-11-01,3.092
1997-12-01,2.406
1998-01-01,2.101
1998-02-01,2.263
1998-03-01,2.253
1998-04-01,2.465
1998-05-01,2.16
1998-06-01,2.168
1998-07-01,2.147
1998-08-01,1.855
1998-09-01,2.04
1998-10-01,2.201
1998-11-01,2.321
1998-12-01,1.927
1999-01-01,1.831
1999-02-01,1.761
1999-03-01,1.801
1999-04-01,2.153
1999-05-01,2.272
1999-06-01,2.346
1999-07-01,2.307
1999-08-01,2.802
1999-09-01,2.636
1999-10-01,2.883
1999-11-01,2.549
1999-12-01,2.423
2000-01-01,2.385
2000-02-01,2.614
2000-03-01,2.828
2000-04-01,3.028
2000-05-01,3.596
2000-06-01,4.303
2000-07-01,3.972
2000-08-01,4.46
2000-09-01,5.13
2000-10-01,5.079
2000-11-01,5.74
2000-12-01,8.618
2001-01-01,7.825
2001-02-01,5.675
2001-03-01,5.189
2001-04-01,5.189
2001-05-01,4.244
2001-06-01,3.782
2001-07-01,3.167
2001-08-01,2.935
2001-09-01,2.213
2001-10-01,2.618
2001-11-01,2.786
2001-12-01,2.686
2002-01-01,2.19
2002-02-01,2.263
2002-03-01,3.015
2002-04-01,3.41
2002-05-01,3.563
2002-06-01,3.259
2002-07-01,2.942
2002-08-01,3.092
2002-09-01,3.569
2002-10-01,4.088
2002-11-01,4.04
2002-12-01,4.838
2003-01-01,5.381
2003-02-01,6.657
2003-03-01,5.786
2003-04-01,5.358
2003-05-01,5.926
2003-06-01,5.925
2003-07-01,5.034
2003-08-01,4.978
2003-09-01,4.667
2003-10-01,4.986
2003-11-01,4.834
2003-12-01,6.469
2004-01-01,6.272
2004-02-01,5.363
2004-03-01,5.542
2004-04-01,5.765
2004-05-01,6.398
2004-06-01,6.334
2004-07-01,6.064
2004-08-01,5.471
2004-09-01,5.219
2004-10-01,7.371
2004-11-01,7.608
2004-12-01,6.828
2005-01-01,6.186
2005-02-01,6.203
2005-03-01,7.045
2005-04-01,7.15
2005-05-01,6.486
2005-06-01,7.206
2005-07-01,7.579
2005-08-01,9.427
2005-09-01,12.111
2005-10-01,13.454
2005-11-01,11.695
2005-12-01,13.425
2006-01-01,9.136
2006-02-01,7.52
2006-03-01,6.979
2006-04-01,7.264
2006-05-01,6.372
2006-06-01,6.385
2006-07-01,6.222
2006-08-01,6.989
2006-09-01,5.218
2006-10-01,6.633
2006-11-01,7.995
2006-12-01,7.161
2007-01-01,6.775
2007-02-01,7.546
2007-03-01,7.221
2007-04-01,7.629
2007-05-01,7.821
2007-06-01,7.503
2007-07-01,6.399
2007-08-01,6.137
2007-09-01,6.188
2007-10-01,7.223
2007-11-01,7.778
2007-12-01,7.178
2008-01-01,7.991
2008-02-01,8.642
2008-03-01,9.624
2008-04-01,10.288
2008-05-01,11.381
2008-06-01,12.784
2008-07-01,11.067
2008-08-01,8.301
2008-09-01,7.485
2008-10-01,6.727
2008-11-01,6.7
2008-12-01,5.794
2009-01-01,5.07
2009-02-01,4.382
2009-03-01,4.002
2009-04-01,3.561
2009-05-01,3.934
2009-06-01,3.935
2009-07-01,3.551
2009-08-01,3.305
2009-09-01,3.462
2009-10-01,4.78
2009-11-01,4.628
2009-12-01,5.344
2010-01-01,5.599
2010-02-01,5.215
2010-03-01,4.301
2010-04-01,4.088
2010-05-01,4.155
2010-06-01,4.785
2010-07-01,4.59
2010-08-01,4.22
2010-09-01,3.898
2010-10-01,3.6
2010-11-01,4.042
2010-12-01,4.283
2011-01-01,4.499
2011-02-01,4.036
2011-03-01,4.069
2011-04-01,4.272
2011-05-01,4.336
2011-06-01,4.516
2011-07-01,4.353
2011-08-01,3.984
2011-09-01,3.849
2011-10-01,3.624
2011-11-01,3.558
2011-12-01,3.246
2012-01-01,2.708
2012-02-01,2.526
2012-03-01,2.296
2012-04-01,2.048
2012-05-01,2.493
2012-06-01,2.498
2012-07-01,2.963
2012-08-01,2.807
2012-09-01,2.918
2012-10-01,3.5
2012-11-01,3.687
2012-12-01,3.444
2013-01-01,3.35
2013-02-01,3.314
2013-03-01,3.773
2013-04-01,4.161
2013-05-01,4.068
2013-06-01,3.806
2013-07-01,3.641
2013-08-01,3.413
2013-09-01,3.618
2013-10-01,3.654
2013-11-01,3.64
2013-12-01,4.277
2014-01-01,4.542
2014-02-01,5.163
2014-03-01,4.486
2014-04-01,4.608
2014-05-01,4.536
2014-06-01,4.594
2014-07-01,4.025
2014-08-01,3.899
2014-09-01,3.921
2014-10-01,3.801
2014-11-01,4.235
2014-12-01,3.509
2015-01-01,2.929
2015-02-01,2.755
2015-03-01,2.747
2015-04-01,2.591
2015-05-01,2.856
2015-06-01,2.769
2015-07-01,2.805
2015-08-01,2.753
2015-09-01,2.639
2015-10-01,2.378
2015-11-01,2.281
2015-12-01,2.044
2016-01-01,2.233
2016-02-01,1.929
