Date,Value
1977-01-01,1437
1978-01-01,1635
1979-01-01,1504
1980-01-01,1769
1981-01-01,2035
1982-01-01,1796
1983-01-01,1596
1984-01-01,1491
1985-01-01,1360
1986-01-01,1300
1987-01-01,1220
1988-01-01,1143
1989-01-01,1104
1990-01-01,1126
1991-01-01,1057
1992-01-01,869
1993-01-01,797
1994-01-01,650
1995-01-01,663
1996-01-01,631
1997-01-01,582
1998-01-01,658
1999-01-01,677
2000-01-01,618
2001-01-01,661
2002-01-01,744
2003-01-01,746
2004-01-01,691
2005-01-01,755
2006-01-01,813
2007-01-01,954
2008-01-01,1030
2009-01-01,917
2010-01-01,853
2011-01-01,860
2012-01-01,607
2013-01-01,595
2014-01-01,558
2015-01-01,480
2016-01-01,357
2017-01-01,350
2018-01-01,280
2019-01-01,227
2020-01-01,167
2021-01-01,246
