Date,Value
1977-01-01,1
1978-01-01,294
1979-01-01,-555
1980-01-01,656
1981-01-01,64
1982-01-01,-127
1983-01-01,20
1984-01-01,421
1985-01-01,176
1986-01-01,-14
1987-01-01,-121
1988-01-01,359
1989-01-01,107
1990-01-01,30
1991-01-01,-83
1992-01-01,-111
1993-01-01,265
1994-01-01,419
1995-01-01,-407
1996-01-01,486
1997-01-01,157
1998-01-01,-145
1999-01-01,104
2000-01-01,-154
2001-01-01,267
2002-01-01,1
2003-01-01,154
2004-01-01,60
2005-01-01,32
2006-01-01,135
2007-01-01,110
2008-01-01,-39
2009-01-01,159
2010-01-01,3
2011-01-01,-36
2012-01-01,270
2013-01-01,-160
2014-01-01,370
2015-01-01,-471
2016-01-01,-24
2017-01-01,212
2018-01-01,-233
2019-01-01,-187
2020-01-01,197
2021-01-01,-80
