Date,Value
1977-01-01,43
1978-01-01,52
1979-01-01,40
1980-01-01,1
1986-01-01,2
1987-01-01,14
1988-01-01,5
1989-01-01,8
1990-01-01,5
1991-01-01,1
1992-01-01,18
1993-01-01,3
1994-01-01,9
1995-01-01,4
1996-01-01,1
1997-01-01,3
1998-01-01,0
1999-01-01,46
2000-01-01,39
2001-01-01,6
2002-01-01,11
2003-01-01,6
2004-01-01,15
2005-01-01,13
2006-01-01,9
2007-01-01,12
2008-01-01,2
2009-01-01,3
2010-01-01,13
2011-01-01,11
2012-01-01,1
2013-01-01,12
2014-01-01,4
2015-01-01,9
2016-01-01,22
2017-01-01,12
2018-01-01,14
2019-01-01,0
2020-01-01,0
2021-01-01,26
