Date,Value
1977-01-01,122
1978-01-01,266
1979-01-01,268
1980-01-01,206
1981-01-01,539
1982-01-01,389
1983-01-01,249
1984-01-01,560
1985-01-01,274
1986-01-01,1956
1987-01-01,245
1988-01-01,329
1989-01-01,687
1990-01-01,372
1991-01-01,430
1992-01-01,1054
1993-01-01,335
1994-01-01,524
1995-01-01,679
1996-01-01,377
1997-01-01,307
1998-01-01,501
1999-01-01,437
2000-01-01,262
2001-01-01,279
2002-01-01,436
2003-01-01,206
2004-01-01,750
2005-01-01,207
2006-01-01,807
2007-01-01,407
2008-01-01,334
2009-01-01,212
2010-01-01,687
2011-01-01,152
2012-01-01,742
2013-01-01,733
2014-01-01,575
2015-01-01,230
2016-01-01,368
2017-01-01,236
2018-01-01,87
2019-01-01,32
2020-01-01,72
2021-01-01,199
