Date,Value
1977-01-01,37
1978-01-01,117
1979-01-01,62
1980-01-01,293
1981-01-01,414
1982-01-01,55
1983-01-01,176
1984-01-01,80
1985-01-01,111
1986-01-01,51
1987-01-01,281
1988-01-01,86
1989-01-01,87
1990-01-01,112
1991-01-01,204
1992-01-01,161
1993-01-01,337
1994-01-01,172
1995-01-01,69
1996-01-01,125
1997-01-01,293
1998-01-01,645
1999-01-01,801
2000-01-01,177
2001-01-01,805
2002-01-01,207
2003-01-01,188
2004-01-01,475
2005-01-01,186
2006-01-01,218
2007-01-01,1113
2008-01-01,379
2009-01-01,1342
2010-01-01,872
2011-01-01,813
2012-01-01,1349
2013-01-01,484
2014-01-01,752
2015-01-01,97
2016-01-01,426
2017-01-01,819
2018-01-01,211
2019-01-01,50
2020-01-01,297
2021-01-01,1207
