Date,Value
1977-01-01,165
1978-01-01,492
1979-01-01,648
1980-01-01,683
1981-01-01,541
1982-01-01,546
1983-01-01,503
1984-01-01,634
1985-01-01,391
1986-01-01,2354
1987-01-01,425
1988-01-01,617
1989-01-01,619
1990-01-01,543
1991-01-01,893
1992-01-01,437
1993-01-01,523
1994-01-01,1026
1995-01-01,505
1996-01-01,569
1997-01-01,1368
1998-01-01,1774
1999-01-01,2910
2000-01-01,753
2001-01-01,1488
2002-01-01,1161
2003-01-01,2704
2004-01-01,3586
2005-01-01,1822
2006-01-01,2281
2007-01-01,1818
2008-01-01,4383
2009-01-01,3535
2010-01-01,5540
2011-01-01,3033
2012-01-01,6715
2013-01-01,1737
2014-01-01,6530
2015-01-01,7628
2016-01-01,1067
2017-01-01,1354
2018-01-01,1089
2019-01-01,3346
2020-01-01,4869
2021-01-01,125
