Date,Value
1977-01-01,138.0
1978-01-01,397.0
1979-01-01,250.0
1980-01-01,206.0
1981-01-01,251.0
1982-01-01,171.0
1983-01-01,63.0
1984-01-01,113.0
1985-01-01,108.0
1986-01-01,108.0
1987-01-01,71.0
1988-01-01,626.0
1989-01-01,502.0
1990-01-01,562.0
1991-01-01,289.0
1992-01-01,413.0
1993-01-01,461.0
1994-01-01,264.0
1995-01-01,127.0
1996-01-01,106.0
1997-01-01,108.0
1998-01-01,361.0
1999-01-01,430.0
2000-01-01,274.0
2001-01-01,2120.0
2002-01-01,1222.0
2003-01-01,1215.0
2004-01-01,1017.0
2005-01-01,1795.0
2006-01-01,1980.0
2007-01-01,2812.0
2008-01-01,2294.0
2009-01-01,3346.0
2010-01-01,2838.0
2011-01-01,2015.0
2012-01-01,1563.0
2013-01-01,1352.0
2014-01-01,1070.0
2015-01-01,874.0
2016-01-01,
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
