Date,Value
1981-01-01,2309.0
1982-01-01,2404.0
1986-01-01,1821.0
1987-01-01,1326.0
1988-01-01,1052.0
1989-01-01,1877.0
1990-01-01,1762.0
1991-01-01,1406.0
1992-01-01,1729.0
1993-01-01,1720.0
1994-01-01,2318.0
1995-01-01,2553.0
1996-01-01,3204.0
1997-01-01,3949.0
1998-01-01,3365.0
1999-01-01,2690.0
2000-01-01,3782.0
2001-01-01,4944.0
2002-01-01,4404.0
2003-01-01,5044.0
2004-01-01,5891.0
2005-01-01,9640.0
2006-01-01,9467.0
2007-01-01,10717.0
2008-01-01,11001.0
2009-01-01,10260.0
2010-01-01,11657.0
2011-01-01,12555.0
2012-01-01,11911.0
2013-01-01,8108.0
2014-01-01,8361.0
2015-01-01,6227.0
2016-01-01,
2017-01-01,
2018-01-01,
2019-01-01,
2020-01-01,
2021-01-01,
